timestamp,datetime,open,high,low,close,volume
1775181900000,2026-04-03 02:05:00,1.233,1.233,1.23,1.23,16278.25
1775182200000,2026-04-03 02:10:00,1.23,1.234,1.23,1.234,17507.59
1775182500000,2026-04-03 02:15:00,1.234,1.239,1.234,1.239,3653.16
1775182800000,2026-04-03 02:20:00,1.239,1.239,1.236,1.238,8620.78
1775183100000,2026-04-03 02:25:00,1.238,1.238,1.235,1.235,6680.31
1775183400000,2026-04-03 02:30:00,1.235,1.235,1.231,1.234,19305.0
1775183700000,2026-04-03 02:35:00,1.234,1.236,1.232,1.232,5308.62
1775184000000,2026-04-03 02:40:00,1.233,1.234,1.231,1.231,2905.62
1775184300000,2026-04-03 02:45:00,1.231,1.232,1.23,1.232,6582.81
1775184600000,2026-04-03 02:50:00,1.231,1.236,1.231,1.234,36551.31
1775184900000,2026-04-03 02:55:00,1.234,1.235,1.234,1.235,6307.87
1775185200000,2026-04-03 03:00:00,1.235,1.235,1.232,1.233,6830.82
1775185500000,2026-04-03 03:05:00,1.233,1.237,1.232,1.236,11600.0
1775185800000,2026-04-03 03:10:00,1.236,1.239,1.236,1.238,12768.91
1775186100000,2026-04-03 03:15:00,1.238,1.239,1.236,1.236,20270.47
1775186400000,2026-04-03 03:20:00,1.236,1.239,1.236,1.238,26025.11
1775186700000,2026-04-03 03:25:00,1.237,1.238,1.236,1.236,2427.23
1775187000000,2026-04-03 03:30:00,1.235,1.237,1.234,1.236,5016.82
1775187300000,2026-04-03 03:35:00,1.235,1.235,1.234,1.235,6195.4
1775187600000,2026-04-03 03:40:00,1.235,1.236,1.234,1.236,18809.38
1775187900000,2026-04-03 03:45:00,1.237,1.238,1.235,1.236,5214.14
1775188200000,2026-04-03 03:50:00,1.236,1.238,1.236,1.236,3322.55
1775188500000,2026-04-03 03:55:00,1.236,1.238,1.236,1.237,945.38
1775188800000,2026-04-03 04:00:00,1.236,1.237,1.236,1.237,6841.39
1775189100000,2026-04-03 04:05:00,1.237,1.239,1.237,1.237,3335.88
1775189400000,2026-04-03 04:10:00,1.237,1.239,1.236,1.238,12044.75
1775189700000,2026-04-03 04:15:00,1.239,1.239,1.237,1.238,8875.04
1775190000000,2026-04-03 04:20:00,1.238,1.239,1.236,1.236,6339.54
1775190300000,2026-04-03 04:25:00,1.236,1.237,1.235,1.236,2932.39
1775190600000,2026-04-03 04:30:00,1.235,1.237,1.234,1.235,6155.28
1775190900000,2026-04-03 04:35:00,1.235,1.236,1.235,1.235,1553.42
1775191200000,2026-04-03 04:40:00,1.235,1.237,1.235,1.237,3285.36
1775191500000,2026-04-03 04:45:00,1.237,1.24,1.237,1.239,10137.75
1775191800000,2026-04-03 04:50:00,1.24,1.24,1.239,1.24,2023.56
1775192100000,2026-04-03 04:55:00,1.241,1.241,1.239,1.239,2005.34
1775192400000,2026-04-03 05:00:00,1.24,1.241,1.239,1.24,3895.94
1775192700000,2026-04-03 05:05:00,1.24,1.241,1.239,1.241,3680.18
1775193000000,2026-04-03 05:10:00,1.242,1.243,1.24,1.242,24715.15
1775193300000,2026-04-03 05:15:00,1.241,1.241,1.238,1.239,20943.79
1775193600000,2026-04-03 05:20:00,1.24,1.241,1.239,1.24,2746.68
1775193900000,2026-04-03 05:25:00,1.241,1.243,1.24,1.243,4712.3
1775194200000,2026-04-03 05:30:00,1.243,1.249,1.243,1.248,23570.19
1775194500000,2026-04-03 05:35:00,1.249,1.251,1.247,1.248,8321.69
1775194800000,2026-04-03 05:40:00,1.248,1.249,1.247,1.248,2466.18
1775195100000,2026-04-03 05:45:00,1.249,1.25,1.248,1.248,3816.08
1775195400000,2026-04-03 05:50:00,1.248,1.25,1.248,1.249,22547.87
1775195700000,2026-04-03 05:55:00,1.249,1.251,1.248,1.248,6473.35
1775196000000,2026-04-03 06:00:00,1.249,1.25,1.248,1.249,6181.56
1775196300000,2026-04-03 06:05:00,1.249,1.249,1.248,1.248,9477.06
1775196600000,2026-04-03 06:10:00,1.248,1.252,1.248,1.252,11608.35
1775196900000,2026-04-03 06:15:00,1.252,1.252,1.249,1.25,26188.91
1775197200000,2026-04-03 06:20:00,1.25,1.253,1.249,1.251,13109.6
1775197500000,2026-04-03 06:25:00,1.252,1.252,1.249,1.249,5148.41
1775197800000,2026-04-03 06:30:00,1.249,1.252,1.248,1.251,13155.39
