index,datetime,drawdown
0,2026-04-03 02:05:00,0.0
1,2026-04-04 15:00:00,0.0
2,2026-04-05 04:00:00,0.0
3,2026-04-05 19:25:00,-0.2
4,2026-04-06 15:35:00,0.0
5,2026-04-09 20:25:00,-2.05
6,2026-04-10 00:25:00,-1.2
7,2026-04-11 04:00:00,-1.65
8,2026-04-11 18:35:00,-0.89
9,2026-04-11 22:50:00,-0.86
10,2026-04-13 04:30:00,0.0
11,2026-04-14 17:35:00,0.0
12,2026-04-16 10:05:00,0.0
13,2026-04-17 05:05:00,0.0
14,2026-04-17 23:15:00,0.0
15,2026-04-19 07:15:00,-2.07
16,2026-04-20 09:25:00,-2.45
17,2026-04-20 14:55:00,-2.62
18,2026-04-21 02:00:00,-2.27
19,2026-04-21 12:35:00,-1.41
20,2026-04-22 10:30:00,-3.49
21,2026-04-24 09:10:00,-3.97
22,2026-04-24 15:10:00,-4.42
23,2026-04-24 20:50:00,-6.45
24,2026-04-26 00:55:00,-8.4
25,2026-04-28 07:40:00,-8.51
26,2026-04-28 16:20:00,-8.54
27,2026-04-29 01:30:00,-8.91
28,2026-04-30 00:45:00,-7.95
29,2026-04-30 13:25:00,-7.51
30,2026-05-02 05:15:00,-7.42
31,2026-05-03 00:50:00,-7.64
32,2026-05-03 20:35:00,-9.58
33,2026-05-03 23:40:00,-8.81
34,2026-05-04 14:20:00,-8.51
35,2026-05-05 06:55:00,-10.45
36,2026-05-06 14:10:00,-8.34
37,2026-05-07 14:40:00,-5.87
38,2026-05-08 08:15:00,-6.15
39,2026-05-10 01:00:00,-8.1
40,2026-05-10 13:40:00,-10.01
41,2026-05-11 02:20:00,-10.04
42,2026-05-13 06:30:00,-10.39
43,2026-05-13 22:05:00,-12.24
44,2026-05-17 13:10:00,-11.41
45,2026-05-17 18:20:00,-13.25
46,2026-05-18 13:35:00,-13.34
47,2026-05-18 19:00:00,-12.61
48,2026-05-19 07:35:00,-14.42
49,2026-05-20 05:00:00,-13.63
50,2026-05-20 11:45:00,-13.15
51,2026-05-22 00:50:00,-12.52
52,2026-05-23 14:55:00,-9.04
53,2026-05-24 12:10:00,-9.13
54,2026-05-25 20:40:00,-8.83
55,2026-05-26 10:20:00,-9.02
56,2026-05-27 01:00:00,-7.77
57,2026-05-27 10:25:00,-7.96
58,2026-05-28 12:15:00,-9.83
59,2026-05-29 16:25:00,-9.91
60,2026-05-30 08:55:00,-9.3
61,2026-05-31 11:05:00,-9.42
62,2026-06-01 19:45:00,-9.54
63,2026-06-02 12:15:00,-11.37
64,2026-06-02 19:30:00,-13.11
65,2026-06-03 06:35:00,-13.06
66,2026-06-04 07:55:00,-14.78
67,2026-06-04 20:00:00,-16.45
68,2026-06-05 14:00:00,-18.07
69,2026-06-06 00:50:00,-17.23
70,2026-06-06 08:15:00,-16.73
71,2026-06-07 04:40:00,-18.38
72,2026-06-07 19:45:00,-16.21
73,2026-06-08 15:00:00,-17.87
74,2026-06-09 15:35:00,-15.54
75,2026-06-11 01:20:00,-15.88
76,2026-06-11 17:30:00,-15.94
77,2026-06-11 23:40:00,-17.67
78,2026-06-12 19:55:00,-17.74
79,2026-06-13 18:55:00,-18.05
80,2026-06-15 10:50:00,-19.72
81,2026-06-17 00:50:00,-21.34
82,2026-06-18 02:40:00,-20.85
83,2026-06-18 13:40:00,-22.48
84,2026-06-19 02:05:00,-23.0
85,2026-06-19 12:45:00,-24.58
86,2026-06-20 05:10:00,-26.11
87,2026-06-20 14:50:00,-26.51
88,2026-06-21 03:25:00,-26.64
89,2026-06-21 17:15:00,-27.08
90,2026-06-22 07:10:00,-26.78
91,2026-06-22 22:30:00,-28.26
92,2026-06-24 22:05:00,-26.04
93,2026-06-26 05:50:00,-26.1
94,2026-06-26 15:20:00,-27.59
95,2026-06-27 02:20:00,-29.09
96,2026-06-28 14:20:00,-29.54
97,2026-06-30 00:35:00,-29.53
98,2026-07-01 00:25:00,-29.77
99,2026-07-01 21:10:00,-31.2
100,2026-07-02 08:40:00,-30.67
