index,datetime,drawdown
0,2026-04-03 10:22:00,0.0
1,2026-04-04 15:00:00,0.0
2,2026-04-04 21:46:00,-2.2
3,2026-04-05 01:00:00,-4.35
4,2026-04-05 11:17:00,-6.44
5,2026-04-05 15:31:00,-4.27
6,2026-04-06 17:16:00,-1.63
7,2026-04-07 11:01:00,-1.77
8,2026-04-08 14:24:00,0.0
9,2026-04-08 22:59:00,-2.21
10,2026-04-09 08:31:00,0.0
11,2026-04-10 04:53:00,-0.16
12,2026-04-10 18:28:00,-0.32
13,2026-04-11 02:36:00,-0.65
14,2026-04-11 07:54:00,-2.94
15,2026-04-11 23:07:00,0.0
16,2026-04-12 09:27:00,-2.4
17,2026-04-12 23:02:00,-2.04
18,2026-04-13 08:40:00,-2.34
19,2026-04-14 08:02:00,0.0
20,2026-04-15 04:16:00,0.0
21,2026-04-15 08:35:00,0.0
22,2026-04-15 15:30:00,0.0
23,2026-04-15 21:40:00,-2.34
24,2026-04-16 00:06:00,-2.59
25,2026-04-16 13:08:00,-4.82
26,2026-04-16 16:54:00,-5.37
27,2026-04-16 18:19:00,-7.5
28,2026-04-16 22:01:00,-9.54
29,2026-04-17 19:18:00,-11.58
30,2026-04-18 16:18:00,-13.57
31,2026-04-19 06:15:00,-15.51
32,2026-04-19 13:18:00,-16.74
33,2026-04-19 21:44:00,-18.76
34,2026-04-20 01:21:00,-20.64
35,2026-04-20 18:00:00,-22.44
36,2026-04-21 07:50:00,-24.2
37,2026-04-21 08:47:00,-25.96
38,2026-04-21 13:10:00,-25.48
39,2026-04-21 14:03:00,-25.66
40,2026-04-21 16:24:00,-25.93
41,2026-04-22 05:16:00,-27.57
42,2026-04-22 14:17:00,-26.93
43,2026-04-22 22:49:00,-28.63
44,2026-04-23 20:35:00,-28.82
45,2026-04-24 04:29:00,-29.0
46,2026-04-24 17:54:00,-30.61
47,2026-04-25 02:21:00,-31.24
48,2026-04-25 08:52:00,-30.43
49,2026-04-25 11:33:00,-28.85
50,2026-04-26 05:12:00,-28.38
51,2026-04-26 08:31:00,-30.04
52,2026-04-26 18:30:00,-30.16
53,2026-04-27 06:31:00,-31.72
