index,datetime,drawdown
0,2026-04-03 10:16:00,0.0
1,2026-04-04 08:05:00,0.0
2,2026-04-04 14:41:00,0.0
3,2026-04-04 17:54:00,-2.76
4,2026-04-04 18:54:00,-5.39
5,2026-04-04 21:19:00,-8.15
6,2026-04-04 21:42:00,-10.32
7,2026-04-05 02:01:00,-7.4
8,2026-04-05 07:25:00,-9.6
9,2026-04-05 17:20:00,-9.49
10,2026-04-06 05:20:00,-9.02
11,2026-04-06 10:36:00,-11.17
12,2026-04-07 05:36:00,-10.61
13,2026-04-07 08:57:00,-7.18
14,2026-04-07 14:02:00,-7.47
15,2026-04-07 16:00:00,-3.86
16,2026-04-08 10:11:00,-1.28
17,2026-04-08 18:19:00,-1.69
18,2026-04-08 22:21:00,-1.37
19,2026-04-09 09:54:00,0.0
20,2026-04-09 15:28:00,-0.27
21,2026-04-09 21:06:00,-2.71
22,2026-04-09 22:15:00,-5.02
23,2026-04-10 01:47:00,-5.66
24,2026-04-10 12:30:00,-2.99
25,2026-04-10 13:31:00,-3.45
26,2026-04-10 18:14:00,-5.87
27,2026-04-10 18:48:00,-8.38
28,2026-04-10 20:30:00,-10.63
29,2026-04-11 00:45:00,-7.14
30,2026-04-11 19:33:00,-9.14
31,2026-04-11 22:16:00,-11.16
32,2026-04-12 00:41:00,-11.65
33,2026-04-12 06:59:00,-13.67
34,2026-04-13 06:01:00,-13.94
35,2026-04-13 08:49:00,-16.04
36,2026-04-13 21:38:00,-17.94
37,2026-04-14 13:31:00,-17.57
38,2026-04-14 17:34:00,-16.63
39,2026-04-15 18:02:00,-18.47
40,2026-04-15 19:34:00,-20.32
41,2026-04-15 22:03:00,-21.97
42,2026-04-16 02:30:00,-21.5
43,2026-04-16 10:13:00,-18.99
44,2026-04-16 13:14:00,-16.86
45,2026-04-16 15:21:00,-14.48
46,2026-04-16 15:22:00,-14.76
47,2026-04-16 15:38:00,-15.3
48,2026-04-16 17:34:00,-17.05
49,2026-04-17 05:04:00,-14.36
50,2026-04-17 06:18:00,-15.2
51,2026-04-17 13:42:00,-16.92
52,2026-04-17 15:55:00,-18.71
53,2026-04-17 19:15:00,-20.45
54,2026-04-18 11:07:00,-22.22
55,2026-04-18 16:18:00,-23.85
56,2026-04-18 18:20:00,-25.51
57,2026-04-19 09:26:00,-27.16
58,2026-04-19 13:21:00,-24.67
59,2026-04-20 05:12:00,-24.86
60,2026-04-20 06:32:00,-23.89
61,2026-04-20 15:03:00,-22.83
62,2026-04-20 20:21:00,-24.49
63,2026-04-21 00:30:00,-24.05
64,2026-04-21 08:20:00,-25.75
65,2026-04-21 12:40:00,-21.48
66,2026-04-21 14:04:00,-22.2
67,2026-04-21 22:19:00,-23.96
68,2026-04-22 05:16:00,-25.66
69,2026-04-22 07:43:00,-27.33
70,2026-04-22 20:00:00,-23.92
71,2026-04-23 00:11:00,-25.56
72,2026-04-23 08:33:00,-25.12
73,2026-04-23 10:05:00,-26.63
74,2026-04-23 19:50:00,-28.2
75,2026-04-25 17:27:00,-29.85
76,2026-04-25 18:00:00,-31.36
77,2026-04-25 23:22:00,-31.19
78,2026-04-26 14:20:00,-31.34
79,2026-04-26 23:41:00,-32.74
80,2026-04-27 05:09:00,-29.57
81,2026-04-27 12:37:00,-29.8
82,2026-04-27 18:09:00,-31.3
83,2026-04-28 19:47:00,-30.07
84,2026-04-29 01:09:00,-30.59
85,2026-04-29 06:59:00,-32.22
86,2026-04-29 09:13:00,-33.63
87,2026-04-29 12:05:00,-32.19
88,2026-04-29 15:06:00,-33.51
89,2026-04-29 18:08:00,-33.69
90,2026-04-30 04:30:00,-33.3
91,2026-04-30 09:31:00,-31.87
92,2026-05-01 06:16:00,-33.36
93,2026-05-01 09:50:00,-31.96
94,2026-05-01 12:14:00,-33.51
95,2026-05-01 15:23:00,-34.88
96,2026-05-01 20:41:00,-33.26
97,2026-05-01 20:54:00,-33.78
98,2026-05-02 15:36:00,-32.33
99,2026-05-02 18:32:00,-33.8
100,2026-05-03 01:19:00,-32.19
101,2026-05-03 23:03:00,-33.47
102,2026-05-04 01:31:00,-31.41
103,2026-05-04 03:59:00,-32.76
104,2026-05-04 10:07:00,-28.52
105,2026-05-04 11:00:00,-28.76
106,2026-05-05 07:35:00,-30.22
107,2026-05-05 09:59:00,-31.8
108,2026-05-05 20:25:00,-31.91
109,2026-05-06 00:28:00,-30.0
110,2026-05-06 00:50:00,-31.16
111,2026-05-06 05:58:00,-32.57
112,2026-05-06 08:18:00,-33.87
113,2026-05-06 11:23:00,-35.11
114,2026-05-06 14:45:00,-36.3
115,2026-05-06 15:17:00,-37.53
116,2026-05-07 06:44:00,-35.22
117,2026-05-07 09:48:00,-34.67
118,2026-05-07 22:04:00,-35.86
119,2026-05-08 01:13:00,-37.19
120,2026-05-08 17:19:00,-38.45
121,2026-05-08 21:35:00,-38.63
122,2026-05-09 01:36:00,-39.99
123,2026-05-09 09:16:00,-38.14
124,2026-05-10 00:20:00,-38.21
125,2026-05-10 08:24:00,-36.84
126,2026-05-10 10:49:00,-37.78
127,2026-05-10 19:25:00,-37.99
128,2026-05-10 20:48:00,-35.73
129,2026-05-11 02:15:00,-31.8
130,2026-05-11 03:02:00,-32.05
131,2026-05-12 01:38:00,-29.22
132,2026-05-12 07:03:00,-27.66
133,2026-05-12 18:51:00,-24.55
134,2026-05-12 19:10:00,-24.67
135,2026-05-13 03:05:00,-26.19
136,2026-05-13 03:57:00,-27.8
137,2026-05-13 08:51:00,-29.14
138,2026-05-14 16:07:00,-30.62
139,2026-05-15 00:28:00,-30.74
140,2026-05-15 03:27:00,-32.15
141,2026-05-15 10:52:00,-33.39
142,2026-05-15 13:03:00,-32.96
143,2026-05-15 15:28:00,-34.21
144,2026-05-15 18:32:00,-35.51
145,2026-05-16 06:50:00,-35.66
146,2026-05-16 09:14:00,-35.92
147,2026-05-16 13:02:00,-37.16
148,2026-05-16 22:00:00,-35.59
149,2026-05-17 12:13:00,-35.85
150,2026-05-17 15:16:00,-37.19
151,2026-05-17 16:47:00,-38.51
152,2026-05-17 22:24:00,-37.44
153,2026-05-18 06:08:00,-38.52
154,2026-05-18 08:07:00,-39.72
155,2026-05-19 00:16:00,-40.01
156,2026-05-19 05:19:00,-39.51
157,2026-05-20 05:41:00,-38.2
158,2026-05-20 08:38:00,-39.44
159,2026-05-20 12:02:00,-40.66
160,2026-05-20 14:12:00,-39.17
161,2026-05-20 17:28:00,-40.3
162,2026-05-20 19:19:00,-41.61
163,2026-05-21 02:20:00,-42.67
164,2026-05-21 08:03:00,-42.52
165,2026-05-21 10:27:00,-42.83
166,2026-05-21 15:48:00,-43.0
167,2026-05-21 19:56:00,-43.17
168,2026-05-21 21:11:00,-44.29
169,2026-05-22 15:42:00,-44.49
170,2026-05-22 22:34:00,-45.56
