index,datetime,drawdown
0,2026-04-03 02:05:00,0.0
1,2026-04-04 15:25:00,0.0
2,2026-04-05 04:15:00,-0.03
3,2026-04-05 12:00:00,-2.26
4,2026-04-06 09:15:00,-4.31
5,2026-04-07 19:45:00,-6.32
6,2026-04-08 10:00:00,-8.35
7,2026-04-09 15:15:00,-8.03
8,2026-04-09 19:05:00,-9.93
9,2026-04-10 03:20:00,-9.4
10,2026-04-11 23:10:00,-7.07
11,2026-04-12 12:50:00,-9.2
12,2026-04-13 05:55:00,-9.36
13,2026-04-15 10:30:00,-9.34
14,2026-04-16 02:30:00,-11.21
15,2026-04-16 13:55:00,-11.64
16,2026-04-16 15:10:00,-11.65
17,2026-04-17 05:10:00,-12.04
18,2026-04-17 23:15:00,-11.0
19,2026-04-18 01:50:00,-11.02
20,2026-04-19 20:25:00,-11.54
21,2026-04-21 03:00:00,-11.06
22,2026-04-21 17:10:00,-12.92
23,2026-04-21 23:45:00,-11.78
24,2026-04-22 11:15:00,-13.58
25,2026-04-22 19:40:00,-11.29
26,2026-04-23 03:10:00,-13.13
27,2026-04-23 07:30:00,-14.99
28,2026-04-25 06:20:00,-15.27
29,2026-04-26 03:20:00,-15.14
30,2026-04-26 04:50:00,-15.34
31,2026-04-27 14:35:00,-14.29
32,2026-04-29 15:45:00,-14.62
33,2026-05-02 00:05:00,-14.18
34,2026-05-02 23:15:00,-14.17
35,2026-05-03 16:20:00,-13.75
36,2026-05-03 21:40:00,-12.87
37,2026-05-03 23:40:00,-12.57
38,2026-05-04 10:10:00,-9.87
39,2026-05-05 21:50:00,-11.73
40,2026-05-07 13:00:00,-11.83
41,2026-05-08 00:50:00,-13.67
42,2026-05-09 10:00:00,-13.3
43,2026-05-10 00:55:00,-15.15
44,2026-05-10 11:00:00,-15.24
45,2026-05-11 06:45:00,-14.84
46,2026-05-12 07:10:00,-15.21
47,2026-05-12 13:55:00,-16.97
48,2026-05-13 04:30:00,-18.67
49,2026-05-14 00:00:00,-18.93
50,2026-05-15 02:30:00,-18.07
51,2026-05-16 21:40:00,-17.74
52,2026-05-17 22:15:00,-17.61
53,2026-05-19 19:30:00,-19.33
54,2026-05-20 00:10:00,-21.01
55,2026-05-20 05:30:00,-20.77
56,2026-05-20 21:55:00,-20.47
57,2026-05-21 13:45:00,-20.75
58,2026-05-23 15:00:00,-18.28
59,2026-05-24 12:15:00,-18.24
60,2026-05-25 14:05:00,-18.12
61,2026-05-26 10:25:00,-17.23
62,2026-05-27 00:30:00,-16.22
63,2026-05-27 06:40:00,-15.99
64,2026-05-28 10:55:00,-17.74
65,2026-05-29 13:10:00,-15.36
66,2026-05-29 18:50:00,-15.0
67,2026-05-29 22:00:00,-14.23
68,2026-05-30 11:15:00,-14.19
69,2026-05-31 13:15:00,-13.53
70,2026-05-31 16:10:00,-15.33
71,2026-06-01 00:35:00,-15.44
72,2026-06-01 19:45:00,-15.77
73,2026-06-03 07:15:00,-15.93
74,2026-06-04 18:30:00,-16.06
75,2026-06-05 12:35:00,-17.73
76,2026-06-06 00:55:00,-16.97
77,2026-06-06 07:45:00,-16.32
78,2026-06-06 12:55:00,-16.68
79,2026-06-07 05:10:00,-18.36
80,2026-06-08 04:40:00,-17.53
81,2026-06-08 23:45:00,-16.69
82,2026-06-10 02:15:00,-18.36
83,2026-06-10 04:35:00,-20.02
84,2026-06-10 12:35:00,-20.16
85,2026-06-11 08:15:00,-20.27
86,2026-06-12 02:05:00,-21.94
87,2026-06-12 21:50:00,-21.92
88,2026-06-14 21:20:00,-18.94
89,2026-06-16 12:20:00,-19.33
90,2026-06-17 01:50:00,-19.55
91,2026-06-17 16:30:00,-17.57
92,2026-06-19 02:05:00,-18.05
93,2026-06-20 05:10:00,-19.73
94,2026-06-20 13:30:00,-17.69
95,2026-06-20 14:50:00,-17.98
96,2026-06-21 10:10:00,-17.94
97,2026-06-21 17:05:00,-18.09
98,2026-06-22 18:55:00,-18.15
99,2026-06-23 01:50:00,-19.83
100,2026-06-23 06:05:00,-21.44
101,2026-06-24 04:55:00,-21.5
102,2026-06-24 12:55:00,-21.62
103,2026-06-25 03:00:00,-21.73
104,2026-06-26 02:10:00,-21.77
105,2026-06-27 02:45:00,-21.89
106,2026-06-28 04:30:00,-23.5
107,2026-06-29 10:00:00,-22.99
108,2026-06-30 00:35:00,-22.76
109,2026-06-30 23:50:00,-23.04
110,2026-07-02 08:40:00,-22.16
