index,datetime,drawdown
0,2026-04-03 10:21:00,0.0
1,2026-04-04 06:14:00,0.0
2,2026-04-04 14:39:00,-2.26
3,2026-04-04 16:47:00,-4.68
4,2026-04-04 19:02:00,-6.82
5,2026-04-05 02:03:00,-4.84
6,2026-04-05 12:29:00,-5.2
7,2026-04-05 22:05:00,-2.95
8,2026-04-06 09:18:00,-2.1
9,2026-04-06 14:04:00,0.0
10,2026-04-06 19:08:00,-2.27
11,2026-04-07 09:10:00,0.0
12,2026-04-08 01:07:00,-2.18
13,2026-04-08 04:01:00,-4.58
14,2026-04-08 18:50:00,-4.79
15,2026-04-08 22:28:00,-4.99
16,2026-04-09 05:10:00,-7.08
17,2026-04-09 12:21:00,-6.49
18,2026-04-09 19:01:00,-8.73
19,2026-04-10 00:08:00,-7.37
20,2026-04-10 18:53:00,-9.51
21,2026-04-11 01:16:00,-6.77
22,2026-04-11 19:30:00,-8.9
23,2026-04-11 23:06:00,-9.03
24,2026-04-12 01:02:00,-9.37
25,2026-04-12 10:54:00,-9.68
26,2026-04-12 21:40:00,-11.95
27,2026-04-12 22:02:00,-9.49
28,2026-04-12 22:19:00,-9.79
29,2026-04-13 01:13:00,-10.67
30,2026-04-13 16:18:00,-12.68
31,2026-04-13 22:06:00,-14.7
32,2026-04-13 23:22:00,-16.65
33,2026-04-14 08:32:00,-15.95
34,2026-04-14 09:55:00,-17.91
35,2026-04-14 13:53:00,-19.66
36,2026-04-14 18:47:00,-17.04
37,2026-04-14 19:26:00,-17.43
38,2026-04-15 15:31:00,-16.41
39,2026-04-15 22:09:00,-16.53
40,2026-04-16 02:03:00,-16.78
41,2026-04-16 09:16:00,-16.14
42,2026-04-16 15:38:00,-16.53
43,2026-04-16 17:26:00,-18.36
44,2026-04-16 22:01:00,-20.22
45,2026-04-17 01:03:00,-22.01
46,2026-04-17 14:21:00,-23.75
47,2026-04-17 16:23:00,-23.83
48,2026-04-17 21:03:00,-25.55
49,2026-04-18 13:37:00,-27.31
50,2026-04-18 22:03:00,-29.17
51,2026-04-19 10:01:00,-30.87
52,2026-04-19 11:09:00,-27.58
53,2026-04-19 20:50:00,-25.57
54,2026-04-19 21:48:00,-25.54
55,2026-04-20 01:32:00,-25.31
56,2026-04-20 20:19:00,-27.17
57,2026-04-20 20:47:00,-28.89
58,2026-04-21 03:03:00,-26.87
59,2026-04-21 04:00:00,-27.55
60,2026-04-21 14:41:00,-25.33
61,2026-04-21 16:57:00,-27.08
62,2026-04-21 19:35:00,-28.76
63,2026-04-22 02:04:00,-29.83
64,2026-04-22 04:40:00,-31.55
65,2026-04-22 10:46:00,-33.11
66,2026-04-22 19:00:00,-31.1
67,2026-04-23 01:34:00,-32.76
68,2026-04-23 05:35:00,-33.01
69,2026-04-23 17:36:00,-30.57
70,2026-04-24 00:20:00,-32.28
71,2026-04-24 05:15:00,-32.6
72,2026-04-24 09:50:00,-30.55
73,2026-04-24 14:14:00,-28.27
74,2026-04-24 14:15:00,-29.15
75,2026-04-24 17:34:00,-29.27
76,2026-04-24 22:39:00,-29.06
77,2026-04-25 03:45:00,-30.88
78,2026-04-25 11:04:00,-30.12
79,2026-04-25 14:28:00,-29.19
80,2026-04-25 15:06:00,-29.19
81,2026-04-25 18:14:00,-30.94
82,2026-04-26 02:55:00,-31.23
83,2026-04-26 06:40:00,-33.02
84,2026-04-26 07:22:00,-34.74
85,2026-04-26 12:54:00,-36.33
86,2026-04-26 15:27:00,-37.93
87,2026-04-26 18:12:00,-38.21
88,2026-04-26 20:30:00,-39.64
89,2026-04-26 21:56:00,-39.8
90,2026-04-26 23:23:00,-41.31
91,2026-04-26 23:40:00,-42.69
92,2026-04-27 04:29:00,-44.09
93,2026-04-27 05:16:00,-42.2
94,2026-04-27 11:05:00,-42.38
95,2026-04-27 22:15:00,-40.73
96,2026-04-28 01:13:00,-42.18
97,2026-04-28 02:50:00,-41.78
98,2026-04-28 11:40:00,-39.99
99,2026-04-28 13:53:00,-39.99
100,2026-04-29 00:01:00,-41.24
101,2026-04-29 05:45:00,-42.69
102,2026-04-29 15:40:00,-37.97
