index,datetime,drawdown
0,2026-04-03 10:15:00,0.0
1,2026-04-04 07:47:00,-1.3
2,2026-04-04 08:40:00,-1.29
3,2026-04-04 12:26:00,-1.27
4,2026-04-04 16:28:00,-3.5
5,2026-04-04 19:02:00,-5.9
6,2026-04-05 01:07:00,-4.61
7,2026-04-05 01:55:00,-5.29
8,2026-04-05 07:31:00,-7.46
9,2026-04-05 12:03:00,-7.28
10,2026-04-05 13:29:00,-9.28
11,2026-04-05 14:55:00,-11.33
12,2026-04-05 22:03:00,-13.16
13,2026-04-05 22:13:00,-13.12
14,2026-04-06 06:11:00,-14.91
15,2026-04-06 14:00:00,-14.33
16,2026-04-07 01:51:00,-14.5
17,2026-04-07 06:09:00,-14.69
18,2026-04-07 20:02:00,-14.69
19,2026-04-08 02:07:00,-16.47
20,2026-04-08 04:05:00,-18.19
21,2026-04-08 22:21:00,-19.89
22,2026-04-09 00:40:00,-20.09
23,2026-04-09 03:46:00,-21.77
24,2026-04-09 15:28:00,-21.85
25,2026-04-09 21:07:00,-21.98
26,2026-04-10 02:20:00,-22.37
27,2026-04-10 14:12:00,-22.53
28,2026-04-10 18:15:00,-22.78
29,2026-04-11 16:15:00,-24.64
30,2026-04-11 16:39:00,-26.34
31,2026-04-11 18:30:00,-27.91
32,2026-04-11 22:16:00,-29.36
33,2026-04-12 01:35:00,-25.61
34,2026-04-13 13:02:00,-23.73
35,2026-04-13 21:41:00,-25.35
36,2026-04-14 05:21:00,-27.14
37,2026-04-14 22:29:00,-27.31
38,2026-04-15 17:27:00,-27.41
39,2026-04-15 18:49:00,-28.94
40,2026-04-16 00:33:00,-30.52
41,2026-04-16 13:28:00,-28.75
42,2026-04-16 15:37:00,-25.6
43,2026-04-16 15:38:00,-25.93
44,2026-04-16 19:39:00,-24.04
45,2026-04-17 10:32:00,-22.12
46,2026-04-17 12:24:00,-23.93
47,2026-04-17 13:51:00,-25.48
48,2026-04-17 16:08:00,-27.05
49,2026-04-17 16:26:00,-28.61
50,2026-04-17 22:32:00,-28.11
51,2026-04-18 10:04:00,-29.65
52,2026-04-18 13:30:00,-31.2
53,2026-04-18 16:18:00,-32.76
54,2026-04-19 04:31:00,-34.32
55,2026-04-19 06:12:00,-35.72
56,2026-04-19 09:27:00,-37.08
57,2026-04-19 13:05:00,-33.36
58,2026-04-19 13:20:00,-33.68
59,2026-04-19 20:41:00,-35.09
60,2026-04-20 07:22:00,-32.76
61,2026-04-20 09:39:00,-33.13
62,2026-04-20 14:26:00,-33.23
63,2026-04-20 17:08:00,-34.65
64,2026-04-21 03:03:00,-32.82
65,2026-04-21 06:04:00,-33.14
66,2026-04-21 11:11:00,-33.0
67,2026-04-21 15:03:00,-33.09
68,2026-04-21 16:01:00,-32.61
69,2026-04-21 21:21:00,-32.77
70,2026-04-22 11:51:00,-34.23
71,2026-04-23 07:37:00,-35.68
72,2026-04-23 13:45:00,-35.23
73,2026-04-23 18:59:00,-36.66
74,2026-04-24 09:02:00,-38.17
75,2026-04-24 18:34:00,-38.16
76,2026-04-25 12:29:00,-40.0
77,2026-04-25 21:02:00,-39.36
78,2026-04-25 23:09:00,-40.0
79,2026-04-26 04:49:00,-38.16
80,2026-04-26 08:01:00,-39.61
81,2026-04-26 14:19:00,-39.78
82,2026-04-26 17:28:00,-40.15
83,2026-04-26 21:55:00,-39.87
84,2026-04-27 05:15:00,-36.69
85,2026-04-27 19:30:00,-36.27
86,2026-04-28 17:35:00,-34.26
87,2026-04-28 18:06:00,-34.88
88,2026-04-28 19:44:00,-36.33
89,2026-04-28 21:53:00,-34.48
90,2026-04-29 05:45:00,-36.08
91,2026-04-29 06:05:00,-37.51
92,2026-04-29 07:35:00,-38.91
93,2026-04-29 09:20:00,-40.31
94,2026-04-29 13:23:00,-40.26
95,2026-04-29 18:06:00,-40.37
96,2026-04-30 02:31:00,-39.89
97,2026-05-01 03:07:00,-41.47
98,2026-05-01 05:07:00,-42.73
99,2026-05-01 08:11:00,-42.42
100,2026-05-01 11:20:00,-42.64
101,2026-05-01 15:37:00,-43.87
102,2026-05-01 20:53:00,-41.75
103,2026-05-02 15:07:00,-43.26
104,2026-05-02 21:31:00,-44.53
105,2026-05-03 04:10:00,-43.02
106,2026-05-03 05:19:00,-43.46
107,2026-05-03 14:55:00,-44.77
108,2026-05-03 16:34:00,-45.97
109,2026-05-03 19:33:00,-47.29
110,2026-05-04 01:21:00,-47.57
111,2026-05-04 10:04:00,-43.74
112,2026-05-04 12:32:00,-43.73
113,2026-05-05 03:34:00,-44.88
114,2026-05-05 05:27:00,-46.04
115,2026-05-05 13:01:00,-46.13
116,2026-05-05 22:43:00,-44.86
117,2026-05-05 23:23:00,-46.05
118,2026-05-06 03:25:00,-45.58
119,2026-05-06 08:04:00,-44.2
120,2026-05-06 11:15:00,-45.42
121,2026-05-06 13:30:00,-43.2
122,2026-05-06 13:47:00,-43.33
123,2026-05-07 08:00:00,-41.77
124,2026-05-07 17:26:00,-42.96
125,2026-05-07 18:43:00,-44.26
126,2026-05-08 14:40:00,-44.46
127,2026-05-08 22:01:00,-44.11
128,2026-05-09 00:36:00,-44.03
129,2026-05-09 14:12:00,-44.26
130,2026-05-09 15:36:00,-43.52
131,2026-05-09 18:26:00,-44.84
132,2026-05-10 01:29:00,-43.47
133,2026-05-10 01:37:00,-44.14
134,2026-05-10 14:48:00,-44.41
135,2026-05-10 17:23:00,-45.57
136,2026-05-10 17:51:00,-46.72
137,2026-05-10 19:16:00,-47.84
138,2026-05-10 20:46:00,-46.42
139,2026-05-10 21:54:00,-46.6
140,2026-05-11 03:01:00,-44.93
141,2026-05-11 18:08:00,-45.09
142,2026-05-11 23:33:00,-46.44
143,2026-05-12 01:34:00,-47.55
144,2026-05-12 03:46:00,-48.83
145,2026-05-12 06:51:00,-49.91
146,2026-05-12 08:00:00,-50.91
147,2026-05-12 12:31:00,-51.94
148,2026-05-13 06:14:00,-52.19
149,2026-05-13 08:26:00,-53.23
150,2026-05-13 08:40:00,-54.24
151,2026-05-13 12:23:00,-53.09
152,2026-05-14 03:07:00,-54.04
153,2026-05-14 16:59:00,-54.92
154,2026-05-14 23:57:00,-53.08
155,2026-05-15 01:48:00,-53.24
156,2026-05-15 05:30:00,-54.23
157,2026-05-15 08:28:00,-54.34
158,2026-05-16 07:10:00,-54.43
159,2026-05-16 10:28:00,-55.38
160,2026-05-17 10:05:00,-54.32
161,2026-05-17 11:34:00,-55.33
162,2026-05-17 14:17:00,-54.41
163,2026-05-18 00:28:00,-55.29
164,2026-05-18 12:01:00,-53.61
165,2026-05-18 12:08:00,-53.76
166,2026-05-18 19:45:00,-53.35
167,2026-05-18 20:57:00,-53.81
168,2026-05-20 06:25:00,-52.69
169,2026-05-20 07:23:00,-53.8
170,2026-05-20 10:06:00,-54.94
171,2026-05-20 12:04:00,-55.89
172,2026-05-20 13:38:00,-55.13
173,2026-05-20 16:43:00,-54.85
174,2026-05-20 19:39:00,-54.97
175,2026-05-21 02:20:00,-55.89
176,2026-05-21 05:04:00,-56.97
177,2026-05-21 06:18:00,-57.16
178,2026-05-21 17:16:00,-55.98
179,2026-05-21 18:53:00,-54.77
180,2026-05-22 15:25:00,-55.7
181,2026-05-22 17:29:00,-55.48
182,2026-05-22 22:34:00,-55.66
183,2026-05-22 23:45:00,-56.59
184,2026-05-23 00:32:00,-57.5
185,2026-05-23 05:24:00,-58.37
186,2026-05-23 14:45:00,-53.87
187,2026-05-23 22:47:00,-53.57
188,2026-05-24 20:00:00,-53.71
189,2026-05-24 20:26:00,-54.72
190,2026-05-24 21:29:00,-54.96
191,2026-05-25 00:30:00,-55.04
192,2026-05-25 11:32:00,-56.14
193,2026-05-25 16:23:00,-57.12
194,2026-05-25 20:35:00,-55.62
195,2026-05-26 10:20:00,-54.37
196,2026-05-26 12:54:00,-55.32
197,2026-05-26 21:10:00,-56.29
198,2026-05-28 00:25:00,-57.17
199,2026-05-28 03:11:00,-58.05
200,2026-05-28 14:05:00,-58.11
201,2026-05-29 12:33:00,-58.99
202,2026-06-01 06:09:00,-57.89
203,2026-06-01 07:33:00,-58.73
204,2026-06-01 12:11:00,-59.52
205,2026-06-01 17:29:00,-59.09
206,2026-06-01 18:27:00,-58.66
207,2026-06-02 02:59:00,-58.41
208,2026-06-02 04:21:00,-58.73
209,2026-06-02 19:30:00,-59.53
210,2026-06-02 22:18:00,-60.28
211,2026-06-02 22:52:00,-61.01
212,2026-06-03 09:52:00,-59.19
213,2026-06-03 16:20:00,-59.97
214,2026-06-03 19:22:00,-60.03
215,2026-06-03 23:03:00,-60.79
216,2026-06-04 08:15:00,-60.82
217,2026-06-04 13:38:00,-59.53
218,2026-06-04 19:16:00,-59.39
219,2026-06-05 04:02:00,-60.18
220,2026-06-05 05:37:00,-60.94
221,2026-06-05 12:02:00,-60.98
222,2026-06-05 15:01:00,-61.72
223,2026-06-05 19:16:00,-62.43
224,2026-06-05 23:30:00,-62.11
225,2026-06-06 08:33:00,-61.33
226,2026-06-07 04:39:00,-61.42
227,2026-06-07 08:28:00,-62.22
228,2026-06-07 14:22:00,-61.92
229,2026-06-07 23:48:00,-62.7
230,2026-06-08 00:26:00,-63.44
231,2026-06-08 01:45:00,-64.17
232,2026-06-08 05:37:00,-62.54
233,2026-06-09 00:24:00,-61.42
234,2026-06-09 02:15:00,-62.25
235,2026-06-09 04:35:00,-60.93
236,2026-06-09 15:57:00,-61.73
237,2026-06-09 23:02:00,-61.79
238,2026-06-10 11:04:00,-62.58
239,2026-06-10 13:36:00,-61.39
240,2026-06-10 15:00:00,-62.2
241,2026-06-10 21:10:00,-61.02
242,2026-06-11 00:17:00,-60.36
243,2026-06-11 06:12:00,-61.23
244,2026-06-11 11:14:00,-62.08
245,2026-06-11 14:17:00,-61.12
246,2026-06-11 19:30:00,-61.94
247,2026-06-11 21:13:00,-61.68
248,2026-06-12 14:54:00,-61.7
249,2026-06-12 16:00:00,-61.93
250,2026-06-13 12:33:00,-62.97
251,2026-06-13 15:30:00,-63.8
252,2026-06-13 21:41:00,-63.88
253,2026-06-14 01:09:00,-64.7
254,2026-06-14 04:44:00,-63.8
255,2026-06-14 07:08:00,-63.95
256,2026-06-14 12:37:00,-64.07
257,2026-06-14 14:12:00,-64.9
258,2026-06-14 21:16:00,-63.53
259,2026-06-15 00:14:00,-64.32
260,2026-06-15 02:15:00,-64.4
261,2026-06-16 02:01:00,-62.12
262,2026-06-16 13:11:00,-61.65
263,2026-06-17 12:20:00,-62.51
264,2026-06-17 16:26:00,-61.43
265,2026-06-17 16:28:00,-61.13
266,2026-06-17 20:42:00,-61.99
267,2026-06-17 22:57:00,-62.86
268,2026-06-18 01:10:00,-61.77
269,2026-06-18 05:38:00,-62.65
270,2026-06-18 06:12:00,-63.49
271,2026-06-18 07:37:00,-61.92
272,2026-06-19 03:15:00,-61.59
273,2026-06-19 12:46:00,-62.39
274,2026-06-19 13:44:00,-62.2
275,2026-06-19 14:27:00,-62.35
276,2026-06-20 05:10:00,-63.16
277,2026-06-20 06:21:00,-64.05
278,2026-06-20 11:51:00,-64.16
279,2026-06-20 13:25:00,-63.06
280,2026-06-20 14:03:00,-63.23
281,2026-06-20 22:12:00,-64.11
282,2026-06-21 08:34:00,-63.05
283,2026-06-21 08:36:00,-63.29
284,2026-06-21 13:32:00,-64.14
285,2026-06-21 16:33:00,-63.93
286,2026-06-21 18:01:00,-64.22
287,2026-06-22 01:26:00,-62.91
288,2026-06-22 07:04:00,-63.79
289,2026-06-22 11:05:00,-64.7
290,2026-06-22 13:31:00,-65.47
291,2026-06-22 16:02:00,-64.42
292,2026-06-23 00:03:00,-65.27
293,2026-06-23 08:00:00,-66.01
294,2026-06-23 22:07:00,-65.68
295,2026-06-24 05:11:00,-66.48
296,2026-06-24 09:32:00,-66.49
297,2026-06-24 15:33:00,-67.19
298,2026-06-25 04:47:00,-64.65
299,2026-06-25 06:11:00,-64.72
300,2026-06-26 07:33:00,-64.87
301,2026-06-26 14:49:00,-65.01
302,2026-06-27 02:15:00,-64.73
303,2026-06-27 15:06:00,-65.56
304,2026-06-27 19:24:00,-65.07
305,2026-06-28 01:04:00,-65.87
306,2026-06-28 16:35:00,-65.01
307,2026-06-28 19:03:00,-65.81
308,2026-06-28 22:02:00,-65.53
309,2026-06-28 23:32:00,-65.21
310,2026-06-29 00:59:00,-64.68
311,2026-06-29 02:27:00,-64.2
312,2026-06-29 05:05:00,-62.84
313,2026-06-29 13:43:00,-61.69
314,2026-06-29 19:20:00,-62.61
315,2026-06-29 21:39:00,-63.45
316,2026-06-30 15:05:00,-64.26
317,2026-07-01 06:35:00,-63.06
318,2026-07-01 21:38:00,-63.1
319,2026-07-02 09:38:00,-63.13
320,2026-07-02 11:10:00,-63.96
321,2026-07-02 16:54:00,-63.96
