index,datetime,drawdown
0,2026-04-03 10:25:00,0.0
1,2026-04-04 14:41:00,-0.28
2,2026-04-05 01:58:00,0.0
3,2026-04-05 04:01:00,-1.2
4,2026-04-05 18:34:00,-1.49
5,2026-04-06 02:10:00,-3.62
6,2026-04-06 06:06:00,-5.68
7,2026-04-06 17:02:00,-2.76
8,2026-04-07 00:35:00,-4.87
9,2026-04-07 09:09:00,-3.13
10,2026-04-07 13:56:00,-5.17
11,2026-04-07 19:46:00,-5.08
12,2026-04-08 23:00:00,-7.11
13,2026-04-09 15:34:00,-3.9
14,2026-04-09 21:03:00,-6.0
15,2026-04-10 01:33:00,-8.05
16,2026-04-11 05:14:00,-5.14
17,2026-04-11 19:29:00,-7.22
18,2026-04-11 22:16:00,-9.26
19,2026-04-12 10:49:00,-11.35
20,2026-04-13 01:53:00,-8.69
21,2026-04-13 16:06:00,-10.08
22,2026-04-14 06:57:00,-9.35
23,2026-04-14 22:31:00,-11.32
24,2026-04-15 15:14:00,-13.24
25,2026-04-15 17:05:00,-15.15
26,2026-04-16 02:26:00,-17.06
27,2026-04-17 03:59:00,-17.32
28,2026-04-17 16:23:00,-19.12
29,2026-04-17 22:34:00,-18.42
30,2026-04-18 15:38:00,-20.27
31,2026-04-18 18:20:00,-22.03
32,2026-04-19 06:12:00,-22.12
33,2026-04-19 13:04:00,-20.12
34,2026-04-19 16:55:00,-20.5
35,2026-04-20 06:42:00,-18.11
36,2026-04-20 08:52:00,-18.3
37,2026-04-20 13:08:00,-20.18
38,2026-04-20 17:11:00,-21.97
39,2026-04-21 00:47:00,-23.73
40,2026-04-21 17:04:00,-23.06
41,2026-04-22 05:16:00,-24.79
42,2026-04-22 08:57:00,-25.02
43,2026-04-23 15:00:00,-25.21
44,2026-04-24 03:24:00,-25.4
45,2026-04-24 13:00:00,-27.11
46,2026-04-24 17:54:00,-28.72
47,2026-04-25 00:26:00,-28.41
48,2026-04-25 06:08:00,-30.05
49,2026-04-25 16:33:00,-31.62
50,2026-04-26 00:56:00,-33.25
51,2026-04-27 00:58:00,-33.34
52,2026-04-27 13:47:00,-34.93
53,2026-04-27 23:36:00,-32.86
54,2026-04-28 13:10:00,-34.4
55,2026-04-28 19:39:00,-34.16
56,2026-04-29 09:49:00,-34.3
57,2026-04-29 15:03:00,-35.81
58,2026-04-29 23:24:00,-37.29
59,2026-05-01 08:11:00,-38.79
60,2026-05-01 10:12:00,-37.14
61,2026-05-01 19:45:00,-36.98
62,2026-05-03 20:12:00,-38.49
63,2026-05-03 23:23:00,-38.41
64,2026-05-04 17:18:00,-38.49
65,2026-05-05 12:00:00,-39.89
66,2026-05-05 15:12:00,-41.22
67,2026-05-06 15:51:00,-42.54
68,2026-05-07 09:33:00,-41.85
69,2026-05-07 17:26:00,-43.16
70,2026-05-08 11:51:00,-43.29
71,2026-05-08 15:54:00,-44.57
