index,datetime,drawdown
0,2026-04-03 02:10:00,0.0
1,2026-04-04 15:05:00,-0.22
2,2026-04-04 18:15:00,-2.36
3,2026-04-04 19:10:00,-4.53
4,2026-04-05 02:45:00,-4.21
5,2026-04-05 17:50:00,-4.34
6,2026-04-06 13:35:00,-6.46
7,2026-04-07 05:15:00,-8.51
8,2026-04-08 05:20:00,-10.48
9,2026-04-09 10:55:00,-12.39
10,2026-04-09 14:50:00,-12.23
11,2026-04-09 21:05:00,-14.08
12,2026-04-10 14:15:00,-15.92
13,2026-04-11 00:05:00,-15.59
14,2026-04-13 06:00:00,-14.73
15,2026-04-13 14:55:00,-14.16
16,2026-04-14 08:25:00,-15.99
17,2026-04-14 17:35:00,-14.97
18,2026-04-14 22:30:00,-15.08
19,2026-04-15 10:50:00,-15.42
20,2026-04-16 01:05:00,-14.61
21,2026-04-17 05:10:00,-12.08
22,2026-04-17 23:15:00,-11.43
23,2026-04-19 13:15:00,-10.94
24,2026-04-20 04:45:00,-10.91
25,2026-04-20 15:00:00,-10.7
26,2026-04-21 14:15:00,-12.59
27,2026-04-22 19:40:00,-12.77
28,2026-04-23 15:00:00,-13.02
29,2026-04-24 15:40:00,-13.18
30,2026-04-25 04:50:00,-13.13
31,2026-04-26 05:10:00,-11.75
32,2026-04-27 00:30:00,-12.0
33,2026-04-27 21:55:00,-13.95
34,2026-04-28 08:15:00,-13.53
35,2026-04-28 17:35:00,-12.82
36,2026-04-29 15:15:00,-13.16
37,2026-04-30 02:35:00,-14.94
38,2026-04-30 16:20:00,-14.03
39,2026-05-02 23:35:00,-14.48
40,2026-05-03 11:35:00,-14.17
41,2026-05-03 11:40:00,-13.66
42,2026-05-04 10:10:00,-10.77
43,2026-05-04 20:30:00,-12.73
44,2026-05-05 19:25:00,-14.54
45,2026-05-06 03:00:00,-16.3
46,2026-05-06 14:10:00,-14.11
47,2026-05-07 06:45:00,-11.87
48,2026-05-08 05:45:00,-12.48
49,2026-05-08 09:45:00,-12.56
50,2026-05-08 11:45:00,-13.51
51,2026-05-08 13:25:00,-13.57
52,2026-05-09 00:25:00,-15.41
53,2026-05-10 13:00:00,-17.22
54,2026-05-11 06:50:00,-17.67
55,2026-05-12 10:40:00,-19.35
56,2026-05-12 20:10:00,-19.16
57,2026-05-14 03:20:00,-20.83
58,2026-05-15 02:00:00,-20.94
59,2026-05-17 13:00:00,-20.49
60,2026-05-18 22:15:00,-22.12
61,2026-05-19 11:45:00,-22.37
62,2026-05-20 05:05:00,-22.08
63,2026-05-21 07:00:00,-22.1
64,2026-05-21 17:20:00,-21.84
65,2026-05-22 11:50:00,-22.13
66,2026-05-23 14:55:00,-19.8
67,2026-05-24 10:10:00,-20.3
68,2026-05-25 05:20:00,-20.06
69,2026-05-25 08:35:00,-20.67
70,2026-05-27 05:20:00,-19.35
71,2026-05-27 08:25:00,-19.36
72,2026-05-27 17:05:00,-18.79
73,2026-05-28 15:35:00,-18.77
74,2026-06-03 06:40:00,-18.86
75,2026-06-04 09:25:00,-20.44
76,2026-06-04 18:25:00,-20.19
77,2026-06-05 13:55:00,-21.74
78,2026-06-07 06:20:00,-21.56
79,2026-06-09 15:55:00,-23.1
80,2026-06-09 17:15:00,-21.81
81,2026-06-13 20:35:00,-23.38
82,2026-06-14 14:35:00,-21.27
83,2026-06-15 22:30:00,-21.67
84,2026-06-16 09:35:00,-21.28
85,2026-06-16 22:10:00,-21.22
86,2026-06-17 14:45:00,-22.79
87,2026-06-17 15:35:00,-22.74
88,2026-06-18 15:15:00,-24.27
89,2026-06-19 00:15:00,-24.13
90,2026-06-19 21:55:00,-23.22
91,2026-06-21 22:35:00,-23.31
92,2026-06-22 17:30:00,-23.44
93,2026-06-24 03:15:00,-23.57
94,2026-06-25 05:25:00,-21.43
95,2026-06-25 21:35:00,-20.99
96,2026-06-27 19:35:00,-21.01
97,2026-06-28 07:00:00,-20.94
98,2026-06-28 21:40:00,-21.03
99,2026-06-30 00:50:00,-21.01
100,2026-06-30 20:45:00,-22.61
101,2026-07-01 10:15:00,-22.83
102,2026-07-02 08:45:00,-22.83
