index,datetime,drawdown
0,2026-04-03 10:26:00,0.0
1,2026-04-03 23:48:00,-2.43
2,2026-04-04 14:45:00,-2.88
3,2026-04-04 16:25:00,-5.17
4,2026-04-04 18:01:00,-5.47
5,2026-04-04 19:08:00,-7.67
6,2026-04-04 21:52:00,-10.07
7,2026-04-05 07:31:00,-12.26
8,2026-04-05 12:28:00,-12.67
9,2026-04-05 18:33:00,-13.05
10,2026-04-06 02:11:00,-13.34
11,2026-04-06 04:02:00,-15.45
12,2026-04-07 00:22:00,-17.4
13,2026-04-07 03:43:00,-19.35
14,2026-04-07 12:06:00,-21.34
15,2026-04-07 16:42:00,-19.3
16,2026-04-07 18:38:00,-18.95
17,2026-04-07 22:00:00,-20.73
18,2026-04-08 14:31:00,-18.49
19,2026-04-08 14:47:00,-18.21
20,2026-04-08 18:41:00,-20.01
21,2026-04-08 22:17:00,-20.38
22,2026-04-09 03:28:00,-22.21
23,2026-04-10 03:15:00,-22.45
24,2026-04-10 18:14:00,-24.18
25,2026-04-11 00:06:00,-24.37
26,2026-04-11 09:34:00,-26.12
27,2026-04-12 06:47:00,-27.8
28,2026-04-13 00:51:00,-27.05
29,2026-04-13 01:52:00,-27.53
30,2026-04-13 08:43:00,-29.12
31,2026-04-13 11:14:00,-30.66
32,2026-04-13 14:23:00,-30.2
33,2026-04-13 18:15:00,-30.42
34,2026-04-14 08:29:00,-30.61
35,2026-04-14 18:10:00,-30.81
36,2026-04-15 08:34:00,-28.0
37,2026-04-16 02:07:00,-29.51
38,2026-04-16 08:12:00,-31.04
39,2026-04-16 11:00:00,-30.16
40,2026-04-16 22:47:00,-30.31
41,2026-04-17 12:09:00,-31.79
42,2026-04-17 16:31:00,-31.89
43,2026-04-18 10:08:00,-33.32
44,2026-04-18 13:39:00,-34.71
45,2026-04-18 15:51:00,-34.95
46,2026-04-18 18:01:00,-36.51
47,2026-04-19 00:39:00,-36.09
48,2026-04-19 06:18:00,-36.21
49,2026-04-19 10:01:00,-37.64
50,2026-04-19 13:10:00,-36.87
51,2026-04-20 04:46:00,-34.65
52,2026-04-20 07:22:00,-34.5
53,2026-04-20 17:08:00,-35.94
54,2026-04-21 05:06:00,-34.14
55,2026-04-21 06:34:00,-33.93
56,2026-04-21 13:31:00,-33.59
57,2026-04-21 16:28:00,-33.53
58,2026-04-22 10:39:00,-33.14
59,2026-04-23 09:09:00,-33.44
60,2026-04-23 20:33:00,-35.05
61,2026-04-23 22:08:00,-36.53
62,2026-04-24 02:20:00,-36.18
63,2026-04-24 08:21:00,-36.33
64,2026-04-24 13:11:00,-35.97
65,2026-04-24 18:34:00,-37.46
66,2026-04-25 03:20:00,-39.08
67,2026-04-25 14:54:00,-40.56
68,2026-04-25 16:02:00,-40.81
69,2026-04-25 23:00:00,-42.17
70,2026-04-26 21:55:00,-41.78
71,2026-04-27 01:54:00,-43.03
72,2026-04-27 03:31:00,-44.23
73,2026-04-27 08:01:00,-44.41
74,2026-04-27 15:17:00,-44.05
75,2026-04-28 11:31:00,-44.21
76,2026-04-28 16:48:00,-45.53
77,2026-04-28 22:05:00,-45.93
78,2026-04-28 23:45:00,-47.15
79,2026-04-29 09:13:00,-48.42
80,2026-04-29 14:05:00,-46.47
81,2026-04-29 15:03:00,-46.48
82,2026-04-30 05:27:00,-46.14
83,2026-04-30 13:40:00,-47.38
84,2026-05-01 11:36:00,-48.58
85,2026-05-01 19:29:00,-49.77
86,2026-05-01 21:46:00,-49.95
87,2026-05-02 14:11:00,-51.17
88,2026-05-02 23:29:00,-50.66
89,2026-05-03 02:13:00,-51.79
90,2026-05-03 04:00:00,-52.92
91,2026-05-03 05:40:00,-54.14
92,2026-05-03 07:55:00,-55.19
93,2026-05-04 01:07:00,-55.43
94,2026-05-04 10:03:00,-53.74
95,2026-05-04 13:01:00,-54.69
96,2026-05-05 10:35:00,-55.73
97,2026-05-05 13:50:00,-56.66
98,2026-05-05 19:41:00,-56.75
99,2026-05-06 02:56:00,-56.84
100,2026-05-06 05:59:00,-57.75
101,2026-05-06 11:23:00,-58.66
102,2026-05-06 14:06:00,-57.47
103,2026-05-07 00:32:00,-57.61
104,2026-05-07 06:41:00,-55.58
105,2026-05-07 14:31:00,-53.31
106,2026-05-07 17:26:00,-54.26
107,2026-05-08 11:42:00,-54.15
108,2026-05-08 12:27:00,-55.19
109,2026-05-08 15:43:00,-55.27
110,2026-05-09 01:10:00,-54.92
111,2026-05-09 09:16:00,-53.26
112,2026-05-09 22:41:00,-51.89
113,2026-05-10 07:03:00,-50.66
114,2026-05-10 13:00:00,-50.33
115,2026-05-10 13:52:00,-51.46
116,2026-05-10 15:02:00,-52.54
117,2026-05-10 19:25:00,-53.56
118,2026-05-10 20:49:00,-51.78
119,2026-05-11 02:24:00,-50.57
120,2026-05-12 00:19:00,-51.65
121,2026-05-12 01:34:00,-52.7
122,2026-05-12 07:02:00,-53.76
123,2026-05-12 08:53:00,-54.73
124,2026-05-12 13:56:00,-55.64
125,2026-05-12 21:12:00,-54.41
126,2026-05-12 23:46:00,-54.84
127,2026-05-13 12:03:00,-55.01
128,2026-05-13 17:56:00,-56.06
129,2026-05-14 14:18:00,-56.18
130,2026-05-14 16:59:00,-56.26
131,2026-05-14 18:08:00,-57.21
132,2026-05-14 18:52:00,-58.1
133,2026-05-15 02:00:00,-56.89
134,2026-05-16 00:06:00,-55.55
135,2026-05-16 10:07:00,-56.47
136,2026-05-16 22:09:00,-56.18
137,2026-05-17 07:25:00,-57.24
138,2026-05-17 13:16:00,-55.96
139,2026-05-17 15:16:00,-56.98
140,2026-05-17 21:22:00,-55.82
141,2026-05-18 03:32:00,-55.94
142,2026-05-18 04:23:00,-56.93
143,2026-05-18 22:37:00,-57.95
144,2026-05-19 00:19:00,-57.73
145,2026-05-19 04:09:00,-57.83
146,2026-05-19 21:42:00,-56.66
147,2026-05-19 22:35:00,-56.51
148,2026-05-20 02:32:00,-57.53
149,2026-05-20 04:35:00,-58.47
150,2026-05-20 14:17:00,-58.66
151,2026-05-21 05:03:00,-59.7
152,2026-05-21 06:32:00,-60.64
153,2026-05-21 09:34:00,-60.74
154,2026-05-21 13:38:00,-61.63
155,2026-05-22 09:19:00,-61.94
156,2026-05-22 11:48:00,-61.61
157,2026-05-22 14:00:00,-62.19
158,2026-05-22 16:53:00,-61.67
159,2026-05-22 23:45:00,-62.48
160,2026-05-23 04:16:00,-63.32
161,2026-05-23 07:45:00,-64.1
162,2026-05-23 14:45:00,-63.9
163,2026-05-23 20:10:00,-64.74
164,2026-05-24 13:58:00,-63.85
165,2026-05-24 16:15:00,-64.64
166,2026-05-24 18:31:00,-65.42
167,2026-05-24 19:16:00,-66.21
168,2026-05-25 01:58:00,-66.29
169,2026-05-25 21:25:00,-66.5
170,2026-05-26 00:40:00,-67.23
171,2026-05-26 01:30:00,-67.91
172,2026-05-26 07:17:00,-67.71
173,2026-05-27 04:30:00,-68.38
174,2026-05-27 17:09:00,-67.98
175,2026-05-27 17:57:00,-68.07
176,2026-05-28 00:27:00,-68.76
177,2026-05-28 15:36:00,-66.78
178,2026-05-28 16:11:00,-66.74
179,2026-05-29 15:08:00,-66.32
180,2026-05-29 17:10:00,-67.06
181,2026-05-29 19:14:00,-67.11
182,2026-05-30 03:08:00,-67.89
183,2026-05-30 14:00:00,-68.01
184,2026-05-31 06:06:00,-68.37
185,2026-05-31 14:14:00,-68.46
186,2026-05-31 19:26:00,-69.19
187,2026-05-31 22:48:00,-68.98
188,2026-06-01 03:05:00,-68.19
189,2026-06-01 07:47:00,-68.85
190,2026-06-01 13:55:00,-68.89
191,2026-06-02 02:06:00,-68.91
192,2026-06-02 07:02:00,-69.56
193,2026-06-02 12:12:00,-69.63
194,2026-06-02 22:04:00,-70.24
195,2026-06-03 03:49:00,-70.27
196,2026-06-04 00:29:00,-70.29
197,2026-06-04 09:28:00,-70.31
198,2026-06-04 10:30:00,-70.92
199,2026-06-04 12:48:00,-69.84
200,2026-06-04 13:33:00,-69.84
201,2026-06-05 02:43:00,-69.87
202,2026-06-05 04:01:00,-70.51
203,2026-06-05 05:43:00,-71.11
204,2026-06-05 13:56:00,-71.14
205,2026-06-05 15:37:00,-71.73
206,2026-06-05 19:00:00,-72.3
207,2026-06-05 23:31:00,-72.32
208,2026-06-06 08:28:00,-71.09
209,2026-06-06 09:27:00,-71.02
210,2026-06-06 22:04:00,-71.64
211,2026-06-07 21:38:00,-72.24
212,2026-06-07 23:48:00,-72.83
213,2026-06-08 01:25:00,-71.97
214,2026-06-08 04:37:00,-71.57
215,2026-06-08 23:54:00,-71.2
216,2026-06-09 05:34:00,-69.88
217,2026-06-10 02:15:00,-68.65
218,2026-06-10 03:32:00,-68.64
219,2026-06-10 12:33:00,-67.44
220,2026-06-11 03:34:00,-66.43
221,2026-06-11 06:13:00,-66.57
222,2026-06-12 13:56:00,-65.48
223,2026-06-12 20:52:00,-64.98
224,2026-06-13 03:09:00,-65.8
225,2026-06-13 05:47:00,-65.66
226,2026-06-13 12:08:00,-66.53
227,2026-06-13 15:21:00,-67.34
228,2026-06-14 03:50:00,-68.16
229,2026-06-14 19:12:00,-68.08
230,2026-06-15 02:15:00,-68.77
231,2026-06-15 09:38:00,-67.48
232,2026-06-15 10:25:00,-67.37
233,2026-06-15 19:19:00,-66.16
234,2026-06-16 10:27:00,-66.36
235,2026-06-16 18:02:00,-65.04
236,2026-06-16 18:04:00,-65.34
237,2026-06-17 12:03:00,-66.17
238,2026-06-17 12:20:00,-66.95
239,2026-06-17 16:29:00,-67.14
240,2026-06-17 21:44:00,-67.86
241,2026-06-17 23:42:00,-68.59
242,2026-06-18 03:25:00,-69.27
243,2026-06-18 05:38:00,-70.0
244,2026-06-18 09:12:00,-70.68
245,2026-06-19 01:56:00,-69.81
246,2026-06-19 04:33:00,-70.47
247,2026-06-19 19:04:00,-71.16
248,2026-06-21 01:55:00,-71.85
249,2026-06-21 04:27:00,-72.52
250,2026-06-21 09:02:00,-73.15
251,2026-06-21 12:43:00,-73.76
252,2026-06-21 21:10:00,-73.02
253,2026-06-21 22:26:00,-73.19
254,2026-06-22 15:33:00,-73.77
255,2026-06-22 17:07:00,-73.91
256,2026-06-22 21:39:00,-74.49
257,2026-06-22 22:28:00,-74.56
258,2026-06-23 00:21:00,-75.14
259,2026-06-23 12:15:00,-75.2
260,2026-06-23 18:07:00,-75.75
261,2026-06-24 11:10:00,-75.9
262,2026-06-24 15:07:00,-76.41
263,2026-06-24 17:22:00,-76.91
264,2026-06-25 02:00:00,-75.36
265,2026-06-25 02:57:00,-75.51
266,2026-06-25 15:15:00,-76.02
267,2026-06-26 03:02:00,-76.54
268,2026-06-26 14:51:00,-76.5
269,2026-06-27 02:15:00,-76.54
270,2026-06-27 04:05:00,-77.08
271,2026-06-27 09:31:00,-77.59
272,2026-06-27 19:25:00,-76.43
273,2026-06-28 02:20:00,-76.97
274,2026-06-28 05:04:00,-77.5
275,2026-06-28 14:16:00,-77.99
276,2026-06-28 18:06:00,-78.04
277,2026-06-29 18:41:00,-78.54
278,2026-06-29 21:38:00,-79.02
279,2026-07-01 01:10:00,-79.06
280,2026-07-01 02:14:00,-79.14
281,2026-07-01 10:44:00,-78.52
282,2026-07-01 14:17:00,-78.18
283,2026-07-02 03:52:00,-77.97
284,2026-07-02 07:00:00,-77.12
285,2026-07-02 17:05:00,-77.12
