index,datetime,drawdown
0,2026-04-03 02:05:00,0.0
1,2026-04-04 15:05:00,0.0
2,2026-04-05 03:50:00,-0.21
3,2026-04-05 22:50:00,-0.46
4,2026-04-08 05:05:00,-2.55
5,2026-04-09 14:25:00,-4.59
6,2026-04-09 15:10:00,-3.95
7,2026-04-09 22:15:00,-5.93
8,2026-04-09 23:30:00,-5.12
9,2026-04-12 09:05:00,-7.25
10,2026-04-13 12:55:00,-7.54
11,2026-04-14 13:20:00,-9.51
12,2026-04-14 15:05:00,-8.82
13,2026-04-15 07:15:00,-10.73
14,2026-04-16 02:00:00,-12.56
15,2026-04-17 12:50:00,-12.63
16,2026-04-18 02:00:00,-11.61
17,2026-04-18 17:10:00,-13.45
18,2026-04-19 15:30:00,-13.05
19,2026-04-20 05:05:00,-14.89
20,2026-04-22 05:15:00,-16.67
21,2026-04-22 19:05:00,-16.68
22,2026-04-23 17:45:00,-17.01
23,2026-04-24 01:50:00,-18.7
24,2026-04-24 11:00:00,-17.64
25,2026-04-24 18:15:00,-17.15
26,2026-04-25 02:50:00,-17.49
27,2026-04-26 05:10:00,-16.28
28,2026-04-26 17:00:00,-15.55
29,2026-04-27 00:30:00,-15.69
30,2026-04-28 08:15:00,-15.24
31,2026-04-29 04:35:00,-12.64
32,2026-04-29 13:30:00,-9.78
33,2026-04-30 12:25:00,-10.11
34,2026-05-01 08:15:00,-12.1
35,2026-05-02 04:10:00,-12.43
36,2026-05-03 09:35:00,-11.87
37,2026-05-03 23:20:00,-10.98
38,2026-05-04 10:10:00,-10.94
39,2026-05-05 23:35:00,-10.26
40,2026-05-07 00:30:00,-10.49
41,2026-05-08 06:25:00,-12.35
42,2026-05-09 09:55:00,-12.39
43,2026-05-09 17:30:00,-11.14
44,2026-05-10 07:00:00,-11.34
45,2026-05-11 02:15:00,-11.14
46,2026-05-12 07:10:00,-9.09
47,2026-05-13 12:25:00,-6.78
48,2026-05-13 22:05:00,-8.73
49,2026-05-15 08:25:00,-9.56
50,2026-05-16 04:25:00,-11.44
51,2026-05-17 09:00:00,-10.84
52,2026-05-19 00:25:00,-10.85
53,2026-05-20 05:05:00,-9.9
54,2026-05-20 17:35:00,-11.75
55,2026-05-22 04:10:00,-11.84
56,2026-05-22 18:35:00,-13.63
57,2026-05-23 07:45:00,-15.37
58,2026-05-24 07:00:00,-15.58
59,2026-05-25 00:25:00,-15.21
60,2026-05-25 20:45:00,-15.29
61,2026-05-27 04:15:00,-17.05
62,2026-05-28 14:20:00,-15.36
63,2026-05-29 09:15:00,-15.47
64,2026-05-29 19:10:00,-15.34
65,2026-05-29 22:00:00,-14.75
66,2026-05-30 16:10:00,-14.91
67,2026-05-31 13:15:00,-14.94
68,2026-05-31 23:05:00,-12.8
69,2026-06-02 14:05:00,-14.63
70,2026-06-05 12:00:00,-16.36
71,2026-06-05 19:00:00,-18.04
72,2026-06-06 01:00:00,-17.72
73,2026-06-06 12:55:00,-17.89
74,2026-06-07 02:50:00,-19.58
75,2026-06-07 21:45:00,-19.78
76,2026-06-08 08:20:00,-19.57
77,2026-06-09 00:30:00,-17.17
78,2026-06-11 13:50:00,-17.14
79,2026-06-14 04:30:00,-17.37
80,2026-06-14 10:20:00,-17.59
81,2026-06-14 21:20:00,-12.85
82,2026-06-16 04:50:00,-13.1
83,2026-06-17 02:20:00,-12.34
84,2026-06-17 22:00:00,-14.14
85,2026-06-19 04:00:00,-14.23
86,2026-06-19 17:40:00,-14.49
87,2026-06-20 14:10:00,-11.73
88,2026-06-20 19:00:00,-12.1
89,2026-06-21 11:05:00,-12.25
90,2026-06-22 10:10:00,-12.58
91,2026-06-22 19:00:00,-12.5
92,2026-06-23 22:05:00,-11.98
93,2026-06-25 01:00:00,-11.06
94,2026-06-26 02:05:00,-11.15
95,2026-06-26 13:55:00,-9.97
96,2026-06-26 15:45:00,-10.34
97,2026-06-26 22:05:00,-10.84
98,2026-06-27 19:30:00,-8.07
99,2026-06-30 00:35:00,-7.84
100,2026-07-01 10:15:00,-7.91
101,2026-07-01 13:30:00,-7.35
102,2026-07-02 08:40:00,-7.35
