index,datetime,drawdown
0,2026-04-03 10:18:00,0.0
1,2026-04-04 00:26:00,-0.28
2,2026-04-04 11:25:00,-2.69
3,2026-04-04 12:41:00,-5.24
4,2026-04-04 14:39:00,-7.37
5,2026-04-04 15:07:00,-6.28
6,2026-04-04 16:08:00,-8.61
7,2026-04-05 00:53:00,-6.41
8,2026-04-05 03:11:00,-9.1
9,2026-04-05 07:02:00,-11.34
10,2026-04-05 07:49:00,-13.59
11,2026-04-05 10:54:00,-13.23
12,2026-04-05 15:04:00,-15.14
13,2026-04-06 04:37:00,-16.96
14,2026-04-06 07:17:00,-18.79
15,2026-04-07 05:31:00,-20.42
16,2026-04-07 10:43:00,-19.84
17,2026-04-08 05:06:00,-19.94
18,2026-04-08 09:19:00,-21.59
19,2026-04-08 18:43:00,-23.3
20,2026-04-09 06:19:00,-22.93
21,2026-04-09 15:14:00,-20.15
22,2026-04-09 22:15:00,-21.78
23,2026-04-10 00:20:00,-22.06
24,2026-04-10 18:15:00,-23.76
25,2026-04-10 18:53:00,-25.47
26,2026-04-11 01:22:00,-23.43
27,2026-04-11 13:10:00,-25.02
28,2026-04-11 16:41:00,-23.1
29,2026-04-11 22:07:00,-22.56
30,2026-04-11 23:08:00,-21.98
31,2026-04-12 13:48:00,-22.27
32,2026-04-12 20:17:00,-22.5
33,2026-04-12 22:51:00,-23.14
34,2026-04-13 09:35:00,-24.94
35,2026-04-13 19:26:00,-25.04
36,2026-04-13 21:13:00,-25.31
37,2026-04-14 01:45:00,-26.98
38,2026-04-14 18:25:00,-24.99
39,2026-04-15 07:17:00,-26.53
40,2026-04-15 11:13:00,-24.37
41,2026-04-15 15:02:00,-25.95
42,2026-04-15 16:35:00,-27.51
43,2026-04-15 19:07:00,-29.15
44,2026-04-15 22:00:00,-29.37
45,2026-04-16 02:01:00,-30.9
46,2026-04-16 07:04:00,-30.41
47,2026-04-16 08:49:00,-31.93
48,2026-04-16 12:11:00,-32.05
49,2026-04-17 01:54:00,-29.07
50,2026-04-17 02:18:00,-29.19
51,2026-04-18 03:55:00,-27.23
52,2026-04-18 04:26:00,-27.76
53,2026-04-18 10:02:00,-29.32
54,2026-04-18 11:06:00,-30.87
55,2026-04-18 18:37:00,-32.33
56,2026-04-19 02:24:00,-31.85
57,2026-04-19 11:15:00,-30.63
58,2026-04-19 15:31:00,-29.96
59,2026-04-19 16:55:00,-30.21
60,2026-04-19 19:25:00,-31.81
61,2026-04-19 21:52:00,-33.36
62,2026-04-20 05:20:00,-33.48
63,2026-04-20 07:00:00,-31.68
64,2026-04-20 14:18:00,-33.14
65,2026-04-20 17:18:00,-34.58
66,2026-04-21 06:34:00,-34.68
67,2026-04-21 10:51:00,-36.09
68,2026-04-21 12:40:00,-34.14
69,2026-04-21 19:26:00,-34.4
70,2026-04-21 20:46:00,-35.84
71,2026-04-22 05:16:00,-37.29
72,2026-04-22 13:31:00,-36.94
73,2026-04-22 15:48:00,-38.32
74,2026-04-22 22:17:00,-39.87
75,2026-04-23 05:30:00,-41.35
76,2026-04-23 17:34:00,-42.58
77,2026-04-24 00:20:00,-42.71
78,2026-04-24 01:48:00,-42.9
79,2026-04-24 12:43:00,-43.75
80,2026-04-24 14:11:00,-44.22
81,2026-04-24 18:16:00,-43.33
82,2026-04-25 03:58:00,-43.91
83,2026-04-25 15:50:00,-44.19
84,2026-04-26 00:56:00,-43.93
85,2026-04-26 01:46:00,-45.41
86,2026-04-26 12:47:00,-44.75
87,2026-04-26 17:32:00,-45.2
88,2026-04-26 21:33:00,-44.55
89,2026-04-26 23:31:00,-45.01
90,2026-04-27 00:22:00,-44.57
91,2026-04-27 08:00:00,-44.81
92,2026-04-27 12:34:00,-46.15
93,2026-04-27 15:02:00,-47.26
94,2026-04-27 19:22:00,-48.47
95,2026-04-28 16:33:00,-49.63
96,2026-04-28 19:52:00,-47.91
97,2026-04-29 07:31:00,-47.74
98,2026-04-29 09:20:00,-48.86
