index,datetime,drawdown
0,2026-04-03 02:05:00,0.0
1,2026-04-05 10:50:00,-2.18
2,2026-04-05 19:25:00,-2.35
3,2026-04-06 16:15:00,-0.96
4,2026-04-07 20:05:00,0.0
5,2026-04-09 08:35:00,-0.34
6,2026-04-09 21:45:00,-2.39
7,2026-04-10 13:40:00,-2.68
8,2026-04-11 01:00:00,-2.9
9,2026-04-11 15:15:00,-2.24
10,2026-04-12 07:25:00,-4.25
11,2026-04-13 02:45:00,-3.95
12,2026-04-13 07:20:00,-3.73
13,2026-04-13 17:30:00,-5.7
14,2026-04-14 12:50:00,-6.28
15,2026-04-15 23:15:00,-5.77
16,2026-04-16 13:55:00,-6.29
17,2026-04-17 05:10:00,-6.38
18,2026-04-17 23:15:00,-5.52
19,2026-04-19 07:15:00,-7.49
20,2026-04-19 14:50:00,-8.01
21,2026-04-21 03:00:00,-7.47
22,2026-04-22 05:15:00,-9.36
23,2026-04-22 19:05:00,-9.47
24,2026-04-24 01:50:00,-11.4
25,2026-04-24 09:10:00,-11.74
26,2026-04-24 15:10:00,-12.27
27,2026-04-24 20:25:00,-12.81
28,2026-04-25 08:55:00,-14.04
29,2026-04-26 01:45:00,-15.84
30,2026-04-26 14:20:00,-17.62
31,2026-04-27 15:15:00,-19.3
32,2026-05-01 05:00:00,-19.18
33,2026-05-03 23:45:00,-18.72
34,2026-05-04 09:20:00,-18.25
35,2026-05-05 13:00:00,-19.91
36,2026-05-07 14:35:00,-17.52
37,2026-05-08 07:40:00,-17.63
38,2026-05-09 22:30:00,-18.45
39,2026-05-10 08:00:00,-19.23
40,2026-05-11 14:35:00,-19.59
41,2026-05-13 22:05:00,-21.24
42,2026-05-14 12:30:00,-20.65
43,2026-05-15 01:30:00,-20.41
44,2026-05-17 07:05:00,-22.07
45,2026-05-17 17:00:00,-22.46
46,2026-05-20 12:30:00,-24.11
47,2026-05-20 13:35:00,-23.64
48,2026-05-20 17:20:00,-25.2
49,2026-05-21 10:25:00,-24.2
50,2026-05-21 16:25:00,-24.52
51,2026-05-22 00:50:00,-23.62
52,2026-05-22 14:05:00,-23.02
53,2026-05-22 18:30:00,-24.57
54,2026-05-24 13:55:00,-24.63
55,2026-05-26 00:40:00,-22.35
56,2026-05-26 10:15:00,-21.16
57,2026-05-27 04:15:00,-22.78
58,2026-05-28 14:05:00,-24.34
59,2026-05-29 15:25:00,-23.72
60,2026-05-30 09:00:00,-23.63
61,2026-05-31 16:20:00,-25.2
62,2026-06-01 19:40:00,-25.23
63,2026-06-02 14:05:00,-26.74
64,2026-06-03 19:50:00,-28.2
65,2026-06-04 07:15:00,-29.62
66,2026-06-04 18:30:00,-29.78
67,2026-06-06 03:00:00,-31.15
68,2026-06-06 09:25:00,-30.75
69,2026-06-07 06:35:00,-32.12
70,2026-06-08 04:10:00,-32.17
71,2026-06-08 10:00:00,-32.31
72,2026-06-08 21:35:00,-33.65
73,2026-06-09 16:05:00,-34.95
74,2026-06-09 19:30:00,-33.96
75,2026-06-10 01:05:00,-34.44
76,2026-06-10 11:25:00,-35.73
77,2026-06-11 17:30:00,-35.78
78,2026-06-12 02:40:00,-35.87
79,2026-06-12 14:35:00,-35.65
80,2026-06-13 06:40:00,-35.79
81,2026-06-14 01:00:00,-35.55
82,2026-06-14 04:35:00,-35.33
83,2026-06-14 12:35:00,-36.64
84,2026-06-15 05:30:00,-36.96
85,2026-06-16 02:30:00,-35.07
86,2026-06-16 20:45:00,-35.12
87,2026-06-17 15:25:00,-35.21
88,2026-06-18 13:40:00,-36.53
89,2026-06-20 05:05:00,-35.43
90,2026-06-21 07:40:00,-36.73
91,2026-06-21 14:20:00,-37.99
92,2026-06-21 17:40:00,-38.2
93,2026-06-22 04:55:00,-38.31
94,2026-06-22 18:55:00,-38.11
95,2026-06-23 04:05:00,-38.09
96,2026-06-24 11:45:00,-38.15
97,2026-06-24 22:05:00,-36.15
98,2026-06-24 22:10:00,-36.33
99,2026-06-26 06:30:00,-36.47
100,2026-06-27 10:25:00,-36.04
101,2026-06-27 11:25:00,-35.92
102,2026-06-28 02:20:00,-37.27
103,2026-06-29 01:40:00,-38.53
104,2026-06-29 09:35:00,-39.77
105,2026-06-30 05:30:00,-39.83
106,2026-06-30 19:30:00,-39.13
107,2026-07-01 12:45:00,-38.26
108,2026-07-02 08:40:00,-38.26
