index,datetime,drawdown
0,2026-04-03 02:05:00,0.0
1,2026-04-04 14:35:00,0.0
2,2026-04-05 21:25:00,-0.12
3,2026-04-06 22:50:00,0.0
4,2026-04-07 05:35:00,-1.2
5,2026-04-09 09:50:00,-0.9
6,2026-04-09 17:35:00,-3.0
7,2026-04-10 14:20:00,-2.53
8,2026-04-11 01:25:00,-2.76
9,2026-04-12 01:35:00,0.0
10,2026-04-12 20:45:00,-0.48
11,2026-04-15 02:35:00,-0.65
12,2026-04-15 16:20:00,-2.76
13,2026-04-16 07:50:00,-2.2
14,2026-04-17 05:10:00,-2.46
15,2026-04-19 13:20:00,-2.23
16,2026-04-20 06:30:00,-0.94
17,2026-04-20 15:00:00,0.0
18,2026-04-21 01:05:00,-2.16
19,2026-04-22 03:10:00,-2.25
20,2026-04-22 09:05:00,-3.11
21,2026-04-23 14:00:00,-2.56
22,2026-04-25 04:10:00,-2.74
23,2026-04-25 23:20:00,-3.49
24,2026-04-26 14:40:00,-5.57
25,2026-04-27 00:55:00,-7.6
26,2026-04-27 23:30:00,-6.37
27,2026-04-28 18:30:00,-6.13
28,2026-05-04 02:05:00,-3.44
29,2026-05-04 18:45:00,-3.54
30,2026-05-05 11:10:00,-4.64
31,2026-05-06 03:05:00,-4.83
32,2026-05-06 20:05:00,-6.92
33,2026-05-07 06:45:00,-7.53
34,2026-05-08 10:45:00,-7.89
35,2026-05-09 00:30:00,-8.0
36,2026-05-11 06:50:00,-8.47
37,2026-05-12 06:25:00,-8.56
38,2026-05-13 00:25:00,-8.89
39,2026-05-13 12:35:00,-8.3
40,2026-05-14 17:05:00,-10.23
41,2026-05-15 04:55:00,-9.76
42,2026-05-15 20:05:00,-11.68
43,2026-05-17 10:10:00,-11.61
44,2026-05-17 19:00:00,-10.89
45,2026-05-19 02:00:00,-9.84
46,2026-05-19 19:15:00,-10.44
47,2026-05-20 12:55:00,-11.38
48,2026-05-22 14:20:00,-10.75
49,2026-05-23 17:55:00,-10.99
50,2026-05-24 09:20:00,-12.9
51,2026-05-24 23:35:00,-12.73
52,2026-05-25 04:00:00,-12.89
53,2026-05-25 17:40:00,-12.5
54,2026-05-27 01:00:00,-12.5
55,2026-05-27 11:00:00,-12.36
56,2026-05-27 16:35:00,-12.19
57,2026-05-28 16:35:00,-11.8
58,2026-05-29 16:45:00,-13.59
59,2026-05-30 00:05:00,-15.21
60,2026-05-31 09:50:00,-12.5
61,2026-05-31 23:35:00,-14.31
62,2026-06-01 19:35:00,-14.44
63,2026-06-02 19:30:00,-16.13
64,2026-06-03 03:10:00,-17.81
65,2026-06-05 13:05:00,-18.02
66,2026-06-06 02:15:00,-19.66
67,2026-06-06 06:00:00,-19.24
68,2026-06-06 12:55:00,-19.68
69,2026-06-07 04:50:00,-21.31
70,2026-06-07 17:00:00,-21.39
71,2026-06-08 13:30:00,-21.24
72,2026-06-09 00:25:00,-18.67
73,2026-06-09 20:05:00,-18.65
74,2026-06-10 20:10:00,-19.01
75,2026-06-11 17:20:00,-18.7
76,2026-06-12 13:40:00,-18.11
77,2026-06-12 19:45:00,-17.61
78,2026-06-13 10:20:00,-17.77
79,2026-06-14 14:40:00,-16.61
80,2026-06-15 10:50:00,-18.38
81,2026-06-15 22:30:00,-18.77
82,2026-06-17 04:35:00,-18.54
83,2026-06-17 14:05:00,-17.86
84,2026-06-17 15:50:00,-17.59
85,2026-06-18 01:15:00,-18.44
86,2026-06-19 13:45:00,-18.29
87,2026-06-20 20:30:00,-18.37
88,2026-06-22 16:40:00,-17.36
89,2026-06-23 22:00:00,-16.77
90,2026-06-24 04:25:00,-17.07
91,2026-06-24 09:35:00,-17.48
92,2026-06-24 12:55:00,-17.56
93,2026-06-25 04:55:00,-17.29
94,2026-06-25 23:35:00,-17.64
95,2026-06-26 11:55:00,-17.65
96,2026-06-26 21:35:00,-17.8
97,2026-06-27 15:10:00,-17.42
98,2026-06-28 10:20:00,-19.09
99,2026-06-29 02:40:00,-19.03
100,2026-06-29 05:55:00,-18.65
101,2026-06-30 00:30:00,-18.38
102,2026-07-01 01:10:00,-18.48
103,2026-07-02 00:00:00,-17.26
104,2026-07-02 08:40:00,-17.26
