index,datetime,drawdown
0,2026-04-03 10:29:00,0.0
1,2026-04-03 16:49:00,-2.4
2,2026-04-04 10:14:00,-1.91
3,2026-04-04 13:37:00,-3.67
4,2026-04-04 14:59:00,-3.49
5,2026-04-04 16:40:00,-5.7
6,2026-04-04 19:15:00,-6.05
7,2026-04-05 00:57:00,-4.88
8,2026-04-05 12:33:00,-4.21
9,2026-04-05 17:27:00,-6.33
10,2026-04-05 18:32:00,-7.89
11,2026-04-05 19:18:00,-9.2
12,2026-04-05 22:02:00,-11.22
13,2026-04-06 06:08:00,-13.22
14,2026-04-06 10:36:00,-15.23
15,2026-04-06 22:54:00,-12.91
16,2026-04-07 01:00:00,-14.84
17,2026-04-07 01:50:00,-16.7
18,2026-04-07 06:13:00,-16.95
19,2026-04-07 07:59:00,-18.01
20,2026-04-07 17:36:00,-14.57
21,2026-04-07 18:31:00,-14.98
22,2026-04-08 05:50:00,-16.81
23,2026-04-09 00:18:00,-18.44
24,2026-04-09 01:07:00,-20.23
25,2026-04-09 09:18:00,-18.18
26,2026-04-09 09:46:00,-18.71
27,2026-04-09 16:58:00,-20.46
28,2026-04-09 20:21:00,-19.88
29,2026-04-09 22:17:00,-21.52
30,2026-04-10 01:32:00,-21.74
31,2026-04-10 20:30:00,-21.83
32,2026-04-11 04:15:00,-19.81
33,2026-04-11 16:40:00,-17.64
34,2026-04-11 23:07:00,-14.56
35,2026-04-12 00:00:00,-14.31
36,2026-04-12 09:02:00,-14.02
37,2026-04-13 00:54:00,-11.68
38,2026-04-13 01:58:00,-12.29
39,2026-04-13 08:41:00,-14.3
40,2026-04-13 11:47:00,-13.56
41,2026-04-13 16:15:00,-15.41
42,2026-04-13 21:12:00,-17.37
43,2026-04-13 21:41:00,-19.24
44,2026-04-14 07:06:00,-19.43
45,2026-04-14 17:00:00,-17.27
46,2026-04-14 21:41:00,-19.06
47,2026-04-15 07:17:00,-20.87
48,2026-04-15 09:27:00,-22.72
49,2026-04-15 17:28:00,-22.89
50,2026-04-15 22:03:00,-24.54
51,2026-04-15 23:51:00,-26.26
52,2026-04-16 08:04:00,-25.12
53,2026-04-16 08:41:00,-24.93
54,2026-04-16 18:45:00,-23.88
55,2026-04-17 01:23:00,-21.75
56,2026-04-17 13:02:00,-23.33
57,2026-04-17 16:20:00,-23.49
58,2026-04-18 03:57:00,-20.66
59,2026-04-18 04:22:00,-21.37
60,2026-04-18 16:18:00,-21.55
61,2026-04-18 21:19:00,-22.93
62,2026-04-19 09:22:00,-24.66
63,2026-04-19 11:51:00,-22.62
64,2026-04-19 12:17:00,-23.12
65,2026-04-19 14:46:00,-24.82
66,2026-04-19 16:55:00,-22.9
67,2026-04-19 20:44:00,-23.12
68,2026-04-19 23:17:00,-24.86
69,2026-04-20 07:00:00,-22.77
70,2026-04-20 07:21:00,-22.06
71,2026-04-21 02:45:00,-19.69
72,2026-04-21 08:20:00,-21.46
73,2026-04-21 08:40:00,-22.82
74,2026-04-21 10:23:00,-23.08
75,2026-04-21 11:24:00,-22.58
76,2026-04-21 12:34:00,-24.38
77,2026-04-21 16:36:00,-24.61
78,2026-04-21 18:53:00,-26.35
79,2026-04-21 19:35:00,-27.94
80,2026-04-21 21:42:00,-29.65
81,2026-04-22 08:01:00,-31.29
82,2026-04-23 08:33:00,-32.88
83,2026-04-23 14:55:00,-30.32
84,2026-04-23 15:18:00,-30.53
85,2026-04-23 18:38:00,-30.9
86,2026-04-24 03:24:00,-28.86
87,2026-04-24 04:29:00,-29.0
88,2026-04-24 13:00:00,-28.84
89,2026-04-24 19:26:00,-30.5
90,2026-04-25 00:28:00,-31.5
91,2026-04-25 19:44:00,-32.8
92,2026-04-25 22:31:00,-32.15
93,2026-04-26 07:52:00,-33.51
94,2026-04-26 18:17:00,-33.71
95,2026-04-26 19:10:00,-34.68
96,2026-04-26 20:31:00,-35.67
97,2026-04-26 21:37:00,-34.85
98,2026-04-26 23:30:00,-34.68
99,2026-04-27 05:15:00,-32.37
100,2026-04-27 06:31:00,-31.97
101,2026-04-27 16:40:00,-33.5
102,2026-04-27 19:30:00,-34.95
103,2026-04-28 13:09:00,-35.19
104,2026-04-28 16:35:00,-36.67
105,2026-04-28 19:14:00,-38.05
106,2026-04-29 06:58:00,-39.44
107,2026-04-29 09:32:00,-40.5
108,2026-04-29 17:27:00,-41.78
109,2026-04-30 01:54:00,-39.64
110,2026-04-30 13:37:00,-39.86
111,2026-04-30 15:30:00,-41.16
112,2026-04-30 18:16:00,-41.37
113,2026-05-01 03:07:00,-42.22
114,2026-05-01 08:14:00,-42.37
115,2026-05-01 09:24:00,-43.1
116,2026-05-01 13:53:00,-44.27
117,2026-05-01 17:37:00,-45.45
118,2026-05-02 18:53:00,-45.65
119,2026-05-02 21:31:00,-46.35
120,2026-05-03 01:01:00,-45.19
121,2026-05-03 01:02:00,-45.22
122,2026-05-03 19:34:00,-45.41
123,2026-05-03 23:30:00,-44.95
124,2026-05-04 06:53:00,-44.76
125,2026-05-05 05:24:00,-45.93
126,2026-05-05 20:03:00,-47.01
127,2026-05-05 22:34:00,-45.52
128,2026-05-06 00:21:00,-45.44
129,2026-05-06 14:07:00,-43.95
130,2026-05-07 06:09:00,-43.87
131,2026-05-07 11:49:00,-44.78
132,2026-05-07 15:18:00,-45.95
133,2026-05-07 16:08:00,-47.04
134,2026-05-07 17:18:00,-48.2
135,2026-05-07 19:19:00,-49.26
136,2026-05-09 03:23:00,-49.34
137,2026-05-09 07:07:00,-48.64
138,2026-05-09 15:07:00,-48.92
139,2026-05-09 17:25:00,-49.77
140,2026-05-09 19:54:00,-49.94
141,2026-05-09 20:52:00,-50.56
142,2026-05-10 03:40:00,-51.49
143,2026-05-10 12:04:00,-51.83
144,2026-05-10 14:53:00,-52.55
145,2026-05-10 17:51:00,-53.56
146,2026-05-10 19:09:00,-54.43
147,2026-05-10 22:01:00,-53.97
148,2026-05-11 03:01:00,-54.11
149,2026-05-11 21:54:00,-54.0
150,2026-05-12 01:16:00,-52.76
151,2026-05-12 15:23:00,-53.71
152,2026-05-12 16:45:00,-54.62
153,2026-05-12 19:52:00,-54.58
154,2026-05-13 08:43:00,-55.4
155,2026-05-13 12:11:00,-56.08
156,2026-05-13 13:40:00,-56.9
157,2026-05-13 19:24:00,-56.77
158,2026-05-14 13:22:00,-57.62
159,2026-05-15 02:33:00,-56.43
160,2026-05-15 02:34:00,-56.63
161,2026-05-15 15:45:00,-57.46
162,2026-05-15 21:57:00,-57.57
163,2026-05-15 23:22:00,-58.06
164,2026-05-16 09:12:00,-58.82
165,2026-05-17 23:40:00,-58.88
166,2026-05-18 02:53:00,-59.62
167,2026-05-18 04:23:00,-60.14
168,2026-05-18 05:42:00,-60.87
169,2026-05-18 16:08:00,-61.66
170,2026-05-18 18:19:00,-62.39
171,2026-05-18 19:44:00,-61.51
172,2026-05-18 19:45:00,-61.54
173,2026-05-18 20:56:00,-61.65
174,2026-05-19 17:40:00,-61.8
175,2026-05-20 08:38:00,-62.35
176,2026-05-20 12:56:00,-62.47
177,2026-05-20 14:13:00,-61.64
178,2026-05-20 17:27:00,-61.74
179,2026-05-21 06:47:00,-61.27
180,2026-05-21 09:39:00,-60.83
181,2026-05-21 11:37:00,-61.45
182,2026-05-21 12:20:00,-62.13
183,2026-05-21 13:38:00,-62.87
184,2026-05-21 16:43:00,-63.55
185,2026-05-21 17:56:00,-63.74
186,2026-05-22 13:11:00,-63.95
187,2026-05-22 18:45:00,-64.58
188,2026-05-22 19:30:00,-65.25
189,2026-05-22 22:06:00,-65.8
190,2026-05-22 22:34:00,-66.29
191,2026-05-22 23:45:00,-66.81
192,2026-05-23 07:05:00,-67.42
193,2026-05-23 07:46:00,-67.99
194,2026-05-23 14:24:00,-67.07
195,2026-05-23 14:33:00,-67.21
196,2026-05-23 20:31:00,-67.79
197,2026-05-24 00:47:00,-67.87
198,2026-05-24 15:51:00,-68.17
199,2026-05-24 16:36:00,-68.07
200,2026-05-24 21:33:00,-68.17
201,2026-05-25 01:15:00,-68.18
202,2026-05-25 04:26:00,-68.65
203,2026-05-25 09:34:00,-69.17
204,2026-05-25 14:46:00,-69.25
205,2026-05-26 07:17:00,-69.1
206,2026-05-26 09:02:00,-69.48
207,2026-05-26 15:32:00,-68.75
208,2026-05-26 15:52:00,-69.29
209,2026-05-26 20:36:00,-69.84
210,2026-05-27 14:22:00,-70.36
211,2026-05-27 17:15:00,-70.43
212,2026-05-27 19:35:00,-70.81
213,2026-05-28 03:11:00,-71.31
214,2026-05-28 13:35:00,-71.17
215,2026-05-29 14:26:00,-71.19
216,2026-05-29 17:12:00,-71.65
217,2026-05-29 21:29:00,-71.36
218,2026-05-30 15:52:00,-71.73
219,2026-05-30 17:22:00,-72.06
220,2026-05-30 18:18:00,-72.53
221,2026-05-30 18:45:00,-72.95
222,2026-05-31 01:11:00,-73.03
223,2026-05-31 14:15:00,-72.54
224,2026-05-31 18:48:00,-72.84
225,2026-05-31 19:23:00,-73.01
226,2026-05-31 21:46:00,-72.89
227,2026-06-01 03:05:00,-72.36
228,2026-06-01 06:20:00,-72.72
229,2026-06-01 07:31:00,-73.15
230,2026-06-01 13:44:00,-73.57
231,2026-06-01 21:07:00,-73.98
232,2026-06-02 01:32:00,-74.38
233,2026-06-02 05:04:00,-74.44
234,2026-06-02 08:48:00,-74.83
235,2026-06-02 12:06:00,-75.23
236,2026-06-02 12:30:00,-75.61
237,2026-06-02 18:29:00,-75.97
238,2026-06-02 20:22:00,-76.32
239,2026-06-03 06:33:00,-75.79
240,2026-06-03 06:35:00,-75.88
241,2026-06-03 19:26:00,-76.23
242,2026-06-03 23:02:00,-76.25
243,2026-06-04 09:21:00,-76.26
244,2026-06-05 04:58:00,-75.53
245,2026-06-05 11:09:00,-75.9
246,2026-06-05 14:28:00,-76.25
247,2026-06-05 15:38:00,-76.59
248,2026-06-05 18:44:00,-76.91
249,2026-06-05 21:03:00,-76.44
250,2026-06-05 22:38:00,-76.32
251,2026-06-07 01:19:00,-75.87
252,2026-06-07 03:18:00,-75.93
253,2026-06-07 04:41:00,-76.32
254,2026-06-07 06:28:00,-76.69
255,2026-06-07 11:38:00,-77.04
256,2026-06-07 22:14:00,-76.21
257,2026-06-08 01:56:00,-76.57
258,2026-06-08 03:09:00,-76.95
259,2026-06-09 02:15:00,-77.3
260,2026-06-09 03:24:00,-77.66
261,2026-06-09 15:55:00,-77.99
262,2026-06-10 02:16:00,-77.86
263,2026-06-10 04:34:00,-78.19
264,2026-06-10 13:38:00,-77.76
265,2026-06-10 18:51:00,-77.39
266,2026-06-10 21:13:00,-76.99
267,2026-06-11 06:12:00,-77.37
268,2026-06-11 19:17:00,-77.72
269,2026-06-11 22:04:00,-78.08
270,2026-06-12 16:02:00,-77.98
271,2026-06-12 16:39:00,-78.32
272,2026-06-12 20:50:00,-77.93
273,2026-06-12 21:24:00,-77.98
274,2026-06-13 13:26:00,-78.32
275,2026-06-13 14:36:00,-78.57
276,2026-06-13 18:37:00,-78.49
277,2026-06-13 21:01:00,-78.67
278,2026-06-14 00:27:00,-78.89
279,2026-06-14 06:35:00,-78.59
280,2026-06-14 07:09:00,-78.68
281,2026-06-14 14:17:00,-78.92
282,2026-06-14 17:37:00,-79.24
283,2026-06-14 19:07:00,-79.46
284,2026-06-15 00:14:00,-79.75
285,2026-06-15 01:39:00,-80.04
286,2026-06-15 22:23:00,-79.41
287,2026-06-16 18:02:00,-79.22
288,2026-06-16 21:17:00,-79.43
289,2026-06-17 08:31:00,-79.71
290,2026-06-17 15:38:00,-79.1
291,2026-06-17 19:19:00,-78.62
292,2026-06-17 21:43:00,-78.89
293,2026-06-18 04:04:00,-78.93
