index,datetime,drawdown
0,2026-04-03 10:21:00,0.0
1,2026-04-04 06:14:00,0.0
2,2026-04-04 14:39:00,-1.01
3,2026-04-04 16:47:00,-1.6
4,2026-04-04 19:02:00,-2.58
5,2026-04-05 02:03:00,-1.99
6,2026-04-05 12:29:00,-2.1
7,2026-04-05 22:05:00,-1.25
8,2026-04-06 09:18:00,-0.4
9,2026-04-06 14:04:00,0.0
10,2026-04-06 19:08:00,-1.11
11,2026-04-07 09:10:00,0.0
12,2026-04-08 01:07:00,-2.16
13,2026-04-08 04:01:00,-2.83
14,2026-04-08 18:50:00,-2.94
15,2026-04-08 22:28:00,-3.06
16,2026-04-09 05:10:00,-5.17
17,2026-04-09 12:21:00,-4.99
18,2026-04-09 19:01:00,-5.8
19,2026-04-10 00:08:00,-4.42
20,2026-04-10 18:53:00,-5.46
21,2026-04-11 01:16:00,-2.63
22,2026-04-11 19:30:00,-3.84
23,2026-04-11 23:06:00,-3.96
24,2026-04-12 01:02:00,-4.1
25,2026-04-12 10:54:00,-4.21
26,2026-04-12 21:40:00,-4.85
27,2026-04-12 22:02:00,-3.98
28,2026-04-12 22:19:00,-4.29
29,2026-04-13 01:13:00,-4.71
30,2026-04-13 16:18:00,-6.84
31,2026-04-13 22:06:00,-7.83
32,2026-04-13 23:22:00,-8.93
33,2026-04-14 08:32:00,-8.17
34,2026-04-14 09:55:00,-9.09
35,2026-04-14 13:53:00,-11.01
36,2026-04-14 18:47:00,-8.13
37,2026-04-14 19:26:00,-8.56
38,2026-04-15 15:31:00,-7.43
39,2026-04-15 22:09:00,-7.56
40,2026-04-16 02:03:00,-7.67
41,2026-04-16 09:16:00,-7.36
42,2026-04-16 15:38:00,-7.78
43,2026-04-16 17:26:00,-9.79
44,2026-04-16 22:01:00,-11.82
45,2026-04-17 01:03:00,-13.77
46,2026-04-17 14:21:00,-15.67
47,2026-04-17 16:23:00,-15.76
48,2026-04-17 21:03:00,-17.63
49,2026-04-18 13:37:00,-18.61
50,2026-04-18 22:03:00,-19.2
51,2026-04-19 10:01:00,-20.03
52,2026-04-19 11:09:00,-18.59
53,2026-04-19 20:50:00,-16.36
54,2026-04-19 21:48:00,-16.35
55,2026-04-20 01:32:00,-16.1
56,2026-04-20 20:19:00,-16.82
57,2026-04-20 20:47:00,-17.81
58,2026-04-21 03:03:00,-15.49
59,2026-04-21 04:00:00,-15.89
60,2026-04-21 14:41:00,-14.66
61,2026-04-21 16:57:00,-16.65
62,2026-04-21 19:35:00,-18.56
63,2026-04-22 02:04:00,-18.89
64,2026-04-22 04:40:00,-19.66
65,2026-04-22 10:46:00,-21.48
66,2026-04-22 19:00:00,-19.13
67,2026-04-23 01:34:00,-20.03
68,2026-04-23 05:35:00,-20.13
69,2026-04-23 17:36:00,-17.24
70,2026-04-24 00:20:00,-18.1
71,2026-04-24 05:15:00,-18.2
72,2026-04-24 09:50:00,-17.08
73,2026-04-24 14:14:00,-15.74
74,2026-04-24 14:15:00,-16.26
75,2026-04-24 17:34:00,-16.34
76,2026-04-24 22:39:00,-16.09
77,2026-04-25 03:45:00,-16.76
78,2026-04-25 11:04:00,-16.58
79,2026-04-25 14:28:00,-16.11
80,2026-04-25 15:06:00,-16.11
81,2026-04-25 18:14:00,-16.86
82,2026-04-26 02:55:00,-16.96
83,2026-04-26 06:40:00,-17.54
84,2026-04-26 07:22:00,-18.16
85,2026-04-26 12:54:00,-18.95
86,2026-04-26 15:27:00,-19.63
87,2026-04-26 18:12:00,-19.72
88,2026-04-26 20:30:00,-21.58
89,2026-04-26 21:56:00,-21.68
90,2026-04-26 23:23:00,-22.36
91,2026-04-26 23:40:00,-24.18
92,2026-04-27 04:29:00,-24.97
93,2026-04-27 05:16:00,-22.43
94,2026-04-27 11:05:00,-22.52
95,2026-04-27 22:15:00,-21.53
96,2026-04-28 01:13:00,-22.43
97,2026-04-28 02:50:00,-22.27
98,2026-04-28 11:40:00,-19.89
99,2026-04-28 13:53:00,-19.89
100,2026-04-29 00:01:00,-20.37
101,2026-04-29 05:45:00,-21.23
102,2026-04-29 15:40:00,-14.78
