index,datetime,drawdown
0,2026-04-03 02:05:00,0.0
1,2026-04-04 15:25:00,0.0
2,2026-04-05 04:15:00,-0.01
3,2026-04-05 12:00:00,-1.15
4,2026-04-06 09:15:00,-3.23
5,2026-04-07 19:45:00,-5.26
6,2026-04-08 10:00:00,-7.31
7,2026-04-09 15:15:00,-6.99
8,2026-04-09 19:05:00,-8.91
9,2026-04-10 03:20:00,-8.38
10,2026-04-11 23:10:00,-6.02
11,2026-04-12 12:50:00,-6.88
12,2026-04-13 05:55:00,-7.05
13,2026-04-15 10:30:00,-7.03
14,2026-04-16 02:30:00,-8.95
15,2026-04-16 13:55:00,-9.39
16,2026-04-16 15:10:00,-9.4
17,2026-04-17 05:10:00,-9.8
18,2026-04-17 23:15:00,-8.73
19,2026-04-18 01:50:00,-8.75
20,2026-04-19 20:25:00,-9.29
21,2026-04-21 03:00:00,-8.8
22,2026-04-21 17:10:00,-10.7
23,2026-04-21 23:45:00,-9.54
24,2026-04-22 11:15:00,-11.39
25,2026-04-22 19:40:00,-9.03
26,2026-04-23 03:10:00,-10.93
27,2026-04-23 07:30:00,-12.83
28,2026-04-25 06:20:00,-13.13
29,2026-04-26 03:20:00,-12.99
30,2026-04-26 04:50:00,-13.19
31,2026-04-27 14:35:00,-12.12
32,2026-04-29 15:45:00,-12.46
33,2026-05-02 00:05:00,-12.01
34,2026-05-02 23:15:00,-12.0
35,2026-05-03 16:20:00,-11.56
36,2026-05-03 21:40:00,-10.66
37,2026-05-03 23:40:00,-10.35
38,2026-05-04 10:10:00,-7.57
39,2026-05-05 21:50:00,-9.48
40,2026-05-07 13:00:00,-9.59
41,2026-05-08 00:50:00,-11.48
42,2026-05-09 10:00:00,-11.09
43,2026-05-10 00:55:00,-13.0
44,2026-05-10 11:00:00,-13.1
45,2026-05-11 06:45:00,-12.68
46,2026-05-12 07:10:00,-13.06
47,2026-05-12 13:55:00,-14.87
48,2026-05-13 04:30:00,-16.62
49,2026-05-14 00:00:00,-16.89
50,2026-05-15 02:30:00,-16.0
51,2026-05-16 21:40:00,-15.66
52,2026-05-17 22:15:00,-15.53
53,2026-05-19 19:30:00,-17.29
54,2026-05-20 00:10:00,-19.03
55,2026-05-20 05:30:00,-18.78
56,2026-05-20 21:55:00,-18.47
57,2026-05-21 13:45:00,-18.76
58,2026-05-23 15:00:00,-16.22
59,2026-05-24 12:15:00,-16.18
60,2026-05-25 14:05:00,-16.07
61,2026-05-26 10:25:00,-15.15
62,2026-05-27 00:30:00,-14.11
63,2026-05-27 06:40:00,-13.88
64,2026-05-28 10:55:00,-15.67
65,2026-05-29 13:10:00,-13.22
66,2026-05-29 18:50:00,-12.86
67,2026-05-29 22:00:00,-12.07
68,2026-05-30 11:15:00,-12.03
69,2026-05-31 13:15:00,-11.34
70,2026-05-31 16:10:00,-13.2
71,2026-06-01 00:35:00,-13.31
72,2026-06-01 19:45:00,-13.64
73,2026-06-03 07:15:00,-13.82
74,2026-06-04 18:30:00,-13.95
75,2026-06-05 12:35:00,-15.66
76,2026-06-06 00:55:00,-14.88
77,2026-06-06 07:45:00,-14.21
78,2026-06-06 12:55:00,-14.59
79,2026-06-07 05:10:00,-16.31
80,2026-06-08 04:40:00,-15.46
81,2026-06-08 23:45:00,-14.59
82,2026-06-10 02:15:00,-16.3
83,2026-06-10 04:35:00,-18.01
84,2026-06-10 12:35:00,-18.16
85,2026-06-11 08:15:00,-18.27
86,2026-06-12 02:05:00,-19.98
87,2026-06-12 21:50:00,-19.96
88,2026-06-14 21:20:00,-16.91
89,2026-06-16 12:20:00,-17.3
90,2026-06-17 01:50:00,-17.53
91,2026-06-17 16:30:00,-15.5
92,2026-06-19 02:05:00,-15.99
93,2026-06-20 05:10:00,-17.72
94,2026-06-20 13:30:00,-15.62
95,2026-06-20 14:50:00,-15.92
96,2026-06-21 10:10:00,-15.88
97,2026-06-21 17:05:00,-16.04
98,2026-06-22 18:55:00,-16.09
99,2026-06-23 01:50:00,-17.82
100,2026-06-23 06:05:00,-19.47
101,2026-06-24 04:55:00,-19.53
102,2026-06-24 12:55:00,-19.66
103,2026-06-25 03:00:00,-19.76
104,2026-06-26 02:10:00,-19.81
105,2026-06-27 02:45:00,-19.94
106,2026-06-28 04:30:00,-21.58
107,2026-06-29 10:00:00,-21.06
108,2026-06-30 00:35:00,-20.82
109,2026-06-30 23:50:00,-21.11
110,2026-07-02 08:40:00,-20.21
