index,datetime,drawdown
0,2026-04-03 10:25:00,0.0
1,2026-04-04 14:41:00,-0.11
2,2026-04-05 01:58:00,0.0
3,2026-04-05 04:01:00,-0.5
4,2026-04-05 18:34:00,-0.79
5,2026-04-06 02:10:00,-2.93
6,2026-04-06 06:06:00,-4.99
7,2026-04-06 17:02:00,-2.06
8,2026-04-07 00:35:00,-4.18
9,2026-04-07 09:09:00,-2.44
10,2026-04-07 13:56:00,-4.48
11,2026-04-07 19:46:00,-4.39
12,2026-04-08 23:00:00,-6.42
13,2026-04-09 15:34:00,-3.21
14,2026-04-09 21:03:00,-5.31
15,2026-04-10 01:33:00,-7.36
16,2026-04-11 05:14:00,-4.45
17,2026-04-11 19:29:00,-6.53
18,2026-04-11 22:16:00,-8.57
19,2026-04-12 10:49:00,-9.45
20,2026-04-13 01:53:00,-6.75
21,2026-04-13 16:06:00,-8.16
22,2026-04-14 06:57:00,-7.41
23,2026-04-14 22:31:00,-9.42
24,2026-04-15 15:14:00,-11.37
25,2026-04-15 17:05:00,-13.32
26,2026-04-16 02:26:00,-15.26
27,2026-04-17 03:59:00,-15.5
28,2026-04-17 16:23:00,-17.33
29,2026-04-17 22:34:00,-16.62
30,2026-04-18 15:38:00,-18.39
31,2026-04-18 18:20:00,-20.19
32,2026-04-19 06:12:00,-20.28
33,2026-04-19 13:04:00,-18.24
34,2026-04-19 16:55:00,-18.63
35,2026-04-20 06:42:00,-16.19
36,2026-04-20 08:52:00,-16.39
37,2026-04-20 13:08:00,-18.3
38,2026-04-20 17:11:00,-20.13
39,2026-04-21 00:47:00,-21.92
40,2026-04-21 17:04:00,-21.24
41,2026-04-22 05:16:00,-23.0
42,2026-04-22 08:57:00,-23.09
43,2026-04-23 15:00:00,-23.28
44,2026-04-24 03:24:00,-23.48
45,2026-04-24 13:00:00,-25.22
46,2026-04-24 17:54:00,-26.86
47,2026-04-25 00:26:00,-26.54
48,2026-04-25 06:08:00,-28.04
49,2026-04-25 16:33:00,-29.64
50,2026-04-26 00:56:00,-30.29
51,2026-04-27 00:58:00,-30.38
52,2026-04-27 13:47:00,-31.03
53,2026-04-27 23:36:00,-30.19
54,2026-04-28 13:10:00,-31.79
55,2026-04-28 19:39:00,-31.69
56,2026-04-29 09:49:00,-31.82
57,2026-04-29 15:03:00,-33.38
58,2026-04-29 23:24:00,-34.83
59,2026-05-01 08:11:00,-35.86
60,2026-05-01 10:12:00,-34.71
61,2026-05-01 19:45:00,-34.55
62,2026-05-03 20:12:00,-35.59
63,2026-05-03 23:23:00,-35.5
64,2026-05-04 17:18:00,-35.58
65,2026-05-05 12:00:00,-37.04
66,2026-05-05 15:12:00,-38.43
67,2026-05-06 15:51:00,-39.8
68,2026-05-07 09:33:00,-39.08
69,2026-05-07 17:26:00,-40.45
70,2026-05-08 11:51:00,-40.57
71,2026-05-08 15:54:00,-41.89
72,2026-05-08 19:16:00,-43.18
73,2026-05-08 21:35:00,-44.47
74,2026-05-09 16:27:00,-44.64
75,2026-05-10 03:31:00,-45.75
76,2026-05-10 16:27:00,-46.95
77,2026-05-10 17:05:00,-48.13
78,2026-05-10 19:16:00,-49.26
79,2026-05-10 22:33:00,-49.29
80,2026-05-11 02:33:00,-49.54
81,2026-05-11 16:08:00,-49.79
82,2026-05-12 03:47:00,-50.94
83,2026-05-12 08:15:00,-52.03
84,2026-05-12 13:59:00,-53.08
85,2026-05-12 22:00:00,-53.0
86,2026-05-13 08:40:00,-54.07
87,2026-05-13 12:23:00,-52.5
88,2026-05-13 19:07:00,-52.6
89,2026-05-14 14:06:00,-51.81
90,2026-05-14 18:29:00,-52.87
91,2026-05-15 00:33:00,-52.46
92,2026-05-15 18:19:00,-53.56
93,2026-05-17 01:32:00,-53.19
94,2026-05-17 19:41:00,-53.34
95,2026-05-18 03:32:00,-54.4
96,2026-05-18 10:05:00,-55.43
97,2026-05-18 19:03:00,-55.47
98,2026-05-18 19:37:00,-55.71
99,2026-05-19 11:41:00,-55.83
100,2026-05-19 19:55:00,-56.82
101,2026-05-20 08:31:00,-56.7
102,2026-05-20 10:34:00,-57.4
103,2026-05-20 12:34:00,-57.34
104,2026-05-20 22:02:00,-56.65
105,2026-05-20 23:13:00,-56.54
106,2026-05-21 02:20:00,-57.53
107,2026-05-21 06:45:00,-56.09
108,2026-05-21 12:20:00,-56.72
109,2026-05-21 17:12:00,-55.48
110,2026-05-22 02:20:00,-55.56
111,2026-05-22 14:53:00,-55.89
112,2026-05-22 15:41:00,-55.89
113,2026-05-22 22:25:00,-56.51
114,2026-05-22 23:45:00,-57.53
115,2026-05-23 04:53:00,-57.82
116,2026-05-23 12:07:00,-57.87
117,2026-05-24 00:38:00,-58.56
118,2026-05-24 19:26:00,-59.53
119,2026-05-24 21:28:00,-59.76
120,2026-05-25 01:58:00,-59.84
121,2026-05-25 14:10:00,-60.77
122,2026-05-25 19:39:00,-60.55
123,2026-05-26 00:38:00,-61.4
124,2026-05-26 05:35:00,-59.99
125,2026-05-26 15:32:00,-60.04
126,2026-05-27 06:30:00,-59.64
127,2026-05-27 15:09:00,-59.05
128,2026-05-27 21:44:00,-59.12
129,2026-05-28 01:17:00,-60.08
130,2026-05-28 03:11:00,-60.9
131,2026-05-28 14:07:00,-60.95
132,2026-05-28 16:24:00,-60.37
133,2026-05-29 14:23:00,-61.31
134,2026-05-29 15:28:00,-59.88
135,2026-05-29 18:47:00,-59.24
136,2026-05-29 21:30:00,-59.16
137,2026-05-30 21:39:00,-59.21
138,2026-05-30 22:40:00,-59.44
139,2026-05-31 12:19:00,-59.08
140,2026-05-31 19:03:00,-59.58
141,2026-05-31 22:15:00,-58.66
142,2026-06-01 07:47:00,-59.65
143,2026-06-01 11:49:00,-60.29
144,2026-06-01 15:25:00,-61.25
145,2026-06-01 17:46:00,-60.07
146,2026-06-01 22:48:00,-59.77
147,2026-06-02 05:55:00,-59.84
