index,datetime,drawdown
0,2026-04-03 02:05:00,0.0
1,2026-04-05 18:30:00,0.0
2,2026-04-06 08:35:00,-2.07
3,2026-04-08 14:10:00,-0.04
4,2026-04-08 22:25:00,-2.17
5,2026-04-09 11:00:00,-2.54
6,2026-04-09 15:10:00,-1.81
7,2026-04-10 14:10:00,-3.88
8,2026-04-11 03:50:00,-3.74
9,2026-04-12 13:30:00,-5.81
10,2026-04-13 06:05:00,-6.11
11,2026-04-13 19:45:00,-8.05
12,2026-04-14 06:55:00,-10.04
13,2026-04-14 15:00:00,-9.54
14,2026-04-16 13:55:00,-10.14
15,2026-04-17 05:55:00,-7.33
16,2026-04-18 08:20:00,-4.58
17,2026-04-18 10:05:00,-6.61
18,2026-04-19 22:00:00,-5.3
19,2026-04-20 11:45:00,-5.81
20,2026-04-21 02:00:00,-5.47
21,2026-04-21 17:00:00,-5.72
22,2026-04-21 19:20:00,-5.47
23,2026-04-25 15:45:00,-5.26
24,2026-04-26 02:15:00,-5.39
25,2026-04-26 21:35:00,-5.48
26,2026-04-28 14:25:00,-7.5
27,2026-04-28 19:45:00,-7.85
28,2026-04-29 09:35:00,-9.86
29,2026-04-30 11:15:00,-10.04
30,2026-04-30 20:05:00,-10.44
31,2026-05-01 12:20:00,-10.55
32,2026-05-01 19:00:00,-10.64
33,2026-05-02 09:10:00,-10.64
34,2026-05-03 00:10:00,-10.51
35,2026-05-04 17:10:00,-10.64
36,2026-05-06 07:05:00,-12.55
37,2026-05-06 23:00:00,-12.1
38,2026-05-07 06:45:00,-12.31
39,2026-05-07 18:55:00,-12.87
40,2026-05-09 13:20:00,-12.69
41,2026-05-11 12:10:00,-12.49
42,2026-05-12 01:30:00,-11.6
43,2026-05-13 01:05:00,-10.99
44,2026-05-14 02:40:00,-12.89
45,2026-05-15 05:00:00,-10.61
46,2026-05-17 00:55:00,-10.74
47,2026-05-19 05:20:00,-10.36
48,2026-05-20 00:15:00,-12.28
49,2026-05-20 16:45:00,-14.09
50,2026-05-21 00:15:00,-15.9
51,2026-05-21 14:05:00,-16.33
52,2026-05-22 05:40:00,-16.49
53,2026-05-22 17:30:00,-16.62
54,2026-05-23 18:15:00,-16.58
55,2026-05-24 14:15:00,-13.44
56,2026-05-25 02:05:00,-13.07
57,2026-05-26 10:20:00,-13.03
58,2026-05-27 04:15:00,-14.86
59,2026-05-27 07:00:00,-14.35
60,2026-05-27 12:05:00,-14.32
61,2026-05-28 14:00:00,-16.11
62,2026-05-29 03:00:00,-14.03
63,2026-05-29 21:35:00,-14.37
64,2026-05-30 22:35:00,-13.96
65,2026-05-31 06:25:00,-14.12
66,2026-05-31 15:55:00,-15.96
67,2026-06-01 00:30:00,-13.64
68,2026-06-05 13:55:00,-15.4
69,2026-06-05 18:50:00,-17.1
70,2026-06-06 04:05:00,-18.78
71,2026-06-06 21:30:00,-18.83
72,2026-06-06 23:40:00,-18.71
73,2026-06-08 08:50:00,-18.57
74,2026-06-08 23:25:00,-17.79
75,2026-06-09 09:30:00,-19.53
76,2026-06-10 02:35:00,-21.18
77,2026-06-12 06:40:00,-18.98
78,2026-06-12 19:40:00,-18.57
79,2026-06-12 19:50:00,-18.3
80,2026-06-14 09:20:00,-18.69
81,2026-06-14 20:35:00,-18.02
82,2026-06-16 02:00:00,-17.81
83,2026-06-16 18:00:00,-17.07
84,2026-06-17 22:00:00,-18.77
85,2026-06-19 02:30:00,-20.47
86,2026-06-20 14:45:00,-20.54
87,2026-06-21 21:10:00,-18.19
88,2026-06-23 22:20:00,-16.77
89,2026-06-24 12:55:00,-16.68
90,2026-06-25 05:05:00,-14.03
91,2026-06-25 23:30:00,-14.16
92,2026-06-28 16:30:00,-13.35
93,2026-06-29 17:05:00,-15.16
94,2026-06-30 17:05:00,-15.18
95,2026-07-01 01:45:00,-15.44
96,2026-07-02 08:40:00,-14.92
