index,datetime,drawdown
0,2026-04-03 10:18:00,0.0
1,2026-04-04 00:26:00,-0.06
2,2026-04-04 11:25:00,-0.71
3,2026-04-04 12:41:00,-1.17
4,2026-04-04 14:39:00,-2.07
5,2026-04-04 15:07:00,-1.47
6,2026-04-04 16:08:00,-2.0
7,2026-04-05 00:53:00,-1.42
8,2026-04-05 03:11:00,-1.65
9,2026-04-05 07:02:00,-2.16
10,2026-04-05 07:49:00,-2.61
11,2026-04-05 10:54:00,-2.53
12,2026-04-05 15:04:00,-3.34
13,2026-04-06 04:37:00,-4.29
14,2026-04-06 07:17:00,-5.06
15,2026-04-07 05:31:00,-7.06
16,2026-04-07 10:43:00,-6.7
17,2026-04-08 05:06:00,-6.81
18,2026-04-08 09:19:00,-8.82
19,2026-04-08 18:43:00,-9.64
20,2026-04-09 06:19:00,-9.53
21,2026-04-09 15:14:00,-8.09
22,2026-04-09 22:15:00,-10.04
23,2026-04-10 00:20:00,-10.38
24,2026-04-10 18:15:00,-11.18
25,2026-04-10 18:53:00,-11.85
26,2026-04-11 01:22:00,-9.69
27,2026-04-11 13:10:00,-11.67
28,2026-04-11 16:41:00,-9.44
29,2026-04-11 22:07:00,-9.16
30,2026-04-11 23:08:00,-8.45
31,2026-04-12 13:48:00,-8.56
32,2026-04-12 20:17:00,-8.64
33,2026-04-12 22:51:00,-9.03
34,2026-04-13 09:35:00,-9.6
35,2026-04-13 19:26:00,-9.72
36,2026-04-13 21:13:00,-9.82
37,2026-04-14 01:45:00,-10.56
38,2026-04-14 18:25:00,-7.99
39,2026-04-15 07:17:00,-9.98
40,2026-04-15 11:13:00,-9.16
41,2026-04-15 15:02:00,-11.14
42,2026-04-15 16:35:00,-13.1
43,2026-04-15 19:07:00,-13.79
44,2026-04-15 22:00:00,-13.89
45,2026-04-16 02:01:00,-14.84
46,2026-04-16 07:04:00,-14.56
47,2026-04-16 08:49:00,-15.45
48,2026-04-16 12:11:00,-15.6
49,2026-04-17 01:54:00,-11.72
50,2026-04-17 02:18:00,-11.88
51,2026-04-18 03:55:00,-9.33
52,2026-04-18 04:26:00,-9.58
53,2026-04-18 10:02:00,-11.63
54,2026-04-18 11:06:00,-12.63
55,2026-04-18 18:37:00,-14.56
56,2026-04-19 02:24:00,-14.3
57,2026-04-19 11:15:00,-12.7
58,2026-04-19 15:31:00,-11.81
59,2026-04-19 16:55:00,-12.14
60,2026-04-19 19:25:00,-12.86
61,2026-04-19 21:52:00,-13.61
62,2026-04-20 05:20:00,-13.77
63,2026-04-20 07:00:00,-12.77
64,2026-04-20 14:18:00,-14.72
65,2026-04-20 17:18:00,-16.65
66,2026-04-21 06:34:00,-16.79
67,2026-04-21 10:51:00,-18.68
68,2026-04-21 12:40:00,-16.44
69,2026-04-21 19:26:00,-16.79
70,2026-04-21 20:46:00,-18.5
71,2026-04-22 05:16:00,-19.31
72,2026-04-22 13:31:00,-19.18
73,2026-04-22 15:48:00,-20.85
74,2026-04-22 22:17:00,-21.3
75,2026-04-23 05:30:00,-21.78
76,2026-04-23 17:34:00,-23.53
77,2026-04-24 00:20:00,-23.68
78,2026-04-24 01:48:00,-23.77
79,2026-04-24 12:43:00,-24.11
80,2026-04-24 14:11:00,-24.41
81,2026-04-24 18:16:00,-23.35
82,2026-04-25 03:58:00,-23.49
83,2026-04-25 15:50:00,-23.58
84,2026-04-26 00:56:00,-23.5
85,2026-04-26 01:46:00,-23.85
86,2026-04-26 12:47:00,-23.54
87,2026-04-26 17:32:00,-23.71
88,2026-04-26 21:33:00,-22.74
89,2026-04-26 23:31:00,-23.4
90,2026-04-27 00:22:00,-22.88
91,2026-04-27 08:00:00,-22.98
92,2026-04-27 12:34:00,-23.42
93,2026-04-27 15:02:00,-25.13
94,2026-04-27 19:22:00,-25.65
95,2026-04-28 16:33:00,-26.2
96,2026-04-28 19:52:00,-25.35
97,2026-04-29 07:31:00,-25.31
98,2026-04-29 09:20:00,-26.06
99,2026-04-29 12:15:00,-25.4
100,2026-04-29 15:03:00,-26.99
101,2026-04-29 16:52:00,-28.6
102,2026-04-30 00:32:00,-26.75
103,2026-05-01 06:16:00,-27.2
104,2026-05-01 11:00:00,-27.29
105,2026-05-01 20:53:00,-25.26
106,2026-05-01 22:20:00,-25.61
107,2026-05-02 15:06:00,-26.13
108,2026-05-02 16:20:00,-26.66
109,2026-05-02 21:37:00,-27.37
110,2026-05-02 22:51:00,-27.9
111,2026-05-03 00:42:00,-28.0
112,2026-05-03 04:04:00,-28.41
113,2026-05-03 06:05:00,-28.73
114,2026-05-03 13:09:00,-29.11
115,2026-05-03 23:31:00,-27.89
116,2026-05-04 06:53:00,-29.48
117,2026-05-05 20:36:00,-29.62
118,2026-05-06 03:25:00,-29.76
