index,datetime,drawdown
0,2026-04-03 02:05:00,0.0
1,2026-04-04 15:05:00,0.0
2,2026-04-05 03:50:00,-0.08
3,2026-04-05 22:50:00,-0.33
4,2026-04-08 05:05:00,-2.42
5,2026-04-09 14:25:00,-4.48
6,2026-04-09 15:10:00,-3.83
7,2026-04-09 22:15:00,-5.82
8,2026-04-09 23:30:00,-5.01
9,2026-04-12 09:05:00,-5.93
10,2026-04-13 12:55:00,-6.23
11,2026-04-14 13:20:00,-8.23
12,2026-04-14 15:05:00,-7.53
13,2026-04-15 07:15:00,-9.47
14,2026-04-16 02:00:00,-11.32
15,2026-04-17 12:50:00,-11.4
16,2026-04-18 02:00:00,-10.36
17,2026-04-18 17:10:00,-12.24
18,2026-04-19 15:30:00,-11.82
19,2026-04-20 05:05:00,-13.69
20,2026-04-22 05:15:00,-15.5
21,2026-04-22 19:05:00,-15.52
22,2026-04-23 17:45:00,-15.85
23,2026-04-24 01:50:00,-17.57
24,2026-04-24 11:00:00,-16.5
25,2026-04-24 18:15:00,-15.99
26,2026-04-25 02:50:00,-16.28
27,2026-04-26 05:10:00,-15.28
28,2026-04-26 17:00:00,-15.0
29,2026-04-27 00:30:00,-15.14
30,2026-04-28 08:15:00,-14.68
31,2026-04-29 04:35:00,-12.05
32,2026-04-29 13:30:00,-9.16
33,2026-04-30 12:25:00,-9.49
34,2026-05-01 08:15:00,-10.41
35,2026-05-02 04:10:00,-10.73
36,2026-05-03 09:35:00,-10.52
37,2026-05-03 23:20:00,-9.61
38,2026-05-04 10:10:00,-9.56
39,2026-05-05 23:35:00,-8.87
40,2026-05-07 00:30:00,-9.1
41,2026-05-08 06:25:00,-11.0
42,2026-05-09 09:55:00,-11.05
43,2026-05-09 17:30:00,-9.77
44,2026-05-10 07:00:00,-9.85
45,2026-05-11 02:15:00,-9.64
46,2026-05-12 07:10:00,-7.54
47,2026-05-13 12:25:00,-5.16
48,2026-05-13 22:05:00,-7.17
49,2026-05-15 08:25:00,-8.02
50,2026-05-16 04:25:00,-9.96
51,2026-05-17 09:00:00,-9.68
52,2026-05-19 00:25:00,-9.69
53,2026-05-20 05:05:00,-8.71
54,2026-05-20 17:35:00,-10.61
55,2026-05-22 04:10:00,-10.65
56,2026-05-22 18:35:00,-12.49
57,2026-05-23 07:45:00,-14.27
58,2026-05-24 07:00:00,-14.37
59,2026-05-25 00:25:00,-13.99
60,2026-05-25 20:45:00,-14.07
61,2026-05-27 04:15:00,-15.88
62,2026-05-28 14:20:00,-14.14
63,2026-05-29 09:15:00,-14.26
64,2026-05-29 19:10:00,-14.12
65,2026-05-29 22:00:00,-13.52
66,2026-05-30 16:10:00,-13.68
67,2026-05-31 13:15:00,-13.71
68,2026-05-31 23:05:00,-11.52
69,2026-06-02 14:05:00,-13.4
70,2026-06-05 12:00:00,-15.17
71,2026-06-05 19:00:00,-16.89
72,2026-06-06 01:00:00,-16.57
73,2026-06-06 12:55:00,-16.74
74,2026-06-07 02:50:00,-18.47
75,2026-06-07 21:45:00,-18.68
76,2026-06-08 08:20:00,-18.46
77,2026-06-09 00:30:00,-16.01
78,2026-06-11 13:50:00,-15.97
79,2026-06-14 04:30:00,-16.21
80,2026-06-14 10:20:00,-16.43
81,2026-06-14 21:20:00,-11.57
82,2026-06-16 04:50:00,-11.83
83,2026-06-17 02:20:00,-11.05
84,2026-06-17 22:00:00,-12.9
85,2026-06-19 04:00:00,-12.99
86,2026-06-19 17:40:00,-13.26
87,2026-06-20 14:10:00,-10.42
88,2026-06-20 19:00:00,-10.81
89,2026-06-21 11:05:00,-10.96
90,2026-06-22 10:10:00,-11.29
91,2026-06-22 19:00:00,-11.22
92,2026-06-23 22:05:00,-10.68
93,2026-06-25 01:00:00,-9.73
94,2026-06-26 02:05:00,-9.83
95,2026-06-26 13:55:00,-8.61
96,2026-06-26 15:45:00,-9.0
97,2026-06-26 22:05:00,-9.51
98,2026-06-27 19:30:00,-6.67
99,2026-06-30 00:35:00,-6.43
100,2026-07-01 10:15:00,-6.51
101,2026-07-01 13:30:00,-5.93
102,2026-07-02 08:40:00,-5.93
